suburb,state,latitude,longitude
Gilmore,ACT,-35.4199,149.1348
Theodore,ACT,-35.4496,149.1197
Richardson,ACT,-35.4279,149.1138
Chisholm,ACT,-35.4125,149.1283
Isabella Plains,ACT,-35.4283,149.088
Bonython,ACT,-35.4333,149.0782
Gordon,ACT,-35.4568,149.085
Banks,ACT,-35.4719,149.0997
Conder,ACT,-35.4593,149.1042
Mitchell,ACT,-35.217,149.137
Kenny,ACT,-35.2283,149.1533
Crace,ACT,-35.2028,149.1074
Gungahlin,ACT,-35.1867,149.1362
Taylor,ACT,-35.1489,149.1092
Casey,ACT,-35.167,149.0947
Nicholls,ACT,-35.1873,149.0965
Palmerston,ACT,-35.1945,149.1194
Ginninderra Village,ACT,-35.1783,149.1124
Ngunnawal,ACT,-35.1728,149.1115
Franklin,ACT,-35.1995,149.1433
Throsby,ACT,-35.1865,149.1621
Forde,ACT,-35.1682,149.1461
Moncrieff,ACT,-35.1651,149.1179
Bonner,ACT,-35.1623,149.1386
Harrison,ACT,-35.1991,149.1563
Jacka,ACT,-35.1568,149.1288
Amaroo,ACT,-35.1696,149.128
Hmas Creswell,ACT,-35.0036,150.586
Jervis Bay,ACT,-35.0036,150.586
Wreck Bay,ACT,-35.0036,150.586
Chullora,NSW,-33.8923,151.0473
Moorebank,NSW,-33.9437,150.9566
Lavington Dc,NSW,-36.0362,146.935
Hamilton Valley,NSW,-36.0379,146.9177
Springdale Heights,NSW,-36.031,146.9478
Lavington,NSW,-36.0398,146.9396
Albury Msc,NSW,-34.7062,146.4742
Lake Hume Village,NSW,-36.2676,147.0798
University Of New England,NSW,-30.7539,151.1366
Old Mill,NSW,-29.9196,151.2146
Tingha,NSW,-29.9559,151.2125
Stannifer,NSW,-29.8833,151.2167
Shannon Vale,NSW,-29.6985,151.8679
Matheson,NSW,-29.7383,151.574
Swan Vale,NSW,-29.7734,151.4663
Glen Elgin,NSW,-29.5833,152.1167
Bald Nob,NSW,-29.6574,151.9586
Red Range,NSW,-29.7757,151.8966
Newton Boyd,NSW,-29.7976,152.2659
Glen Innes,NSW,-29.7349,151.7385
Kookabookra,NSW,-30.0333,152.0667
Moggs Swamp,NSW,-29.9475,152.0668
Pinkett,NSW,-29.6666,151.9262
Gibraltar Range,NSW,-29.6666,151.9262
Stonehenge,NSW,-29.8164,151.7351
Yarrowford,NSW,-29.65,151.7833
