suburb,state,assigned_region
Sandy Gully (NSW),New South Wales,Riverina
Sandy Hill,New South Wales,New England and North West
Sandy Hollow,New South Wales,Hunter Valley exc Newcastle
Sandy Point (NSW),,
Sanger,New South Wales,Murray
Sans Souci,,
Sapphire,New South Wales,New England and North West
Sapphire Beach,,
Saratoga,,
Sassafras (NSW),,
Saumarez,New South Wales,New England and North West
Saumarez Ponds,New South Wales,New England and North West
Savernake,New South Wales,Murray
Sawpit Creek,,
Sawtell,,
Sawyers Gully,New South Wales,Hunter Valley exc Newcastle
Scarborough (NSW),,
Scheyville,New South Wales,Sydney - Baulkham Hills and Hawkesbury
Schofields,New South Wales,Sydney - Blacktown
Scone,New South Wales,Hunter Valley exc Newcastle
Scotia,,
Scotland Island,,
Scotts Creek (NSW),,
Scotts Flat,New South Wales,Hunter Valley exc Newcastle
Scotts Head,,
Seaforth (NSW),,
Seaham,New South Wales,Hunter Valley exc Newcastle
Seahampton,,
Seal Rocks,,
Sebastopol (NSW),New South Wales,Riverina
Sedgefield,New South Wales,Hunter Valley exc Newcastle
Seelands,New South Wales,Coffs Harbour - Grafton
Sefton,,
Segenhoe,New South Wales,Hunter Valley exc Newcastle
Seven Hills (NSW),,
Seven Oaks,New South Wales,Mid North Coast
Sextonville,New South Wales,Richmond - Tweed
Shadforth (NSW),New South Wales,Central West
Shallow Bay,New South Wales,Mid North Coast
Shalvey,New South Wales,Sydney - Blacktown
Shanes Park,,
Shannon Brook,New South Wales,Richmond - Tweed
Shannon Vale,New South Wales,New England and North West
Shannondale,New South Wales,Coffs Harbour - Grafton
Shannons Flat,,
Shark Creek,New South Wales,Coffs Harbour - Grafton
Sharps Creek,New South Wales,Riverina
Sheedys Gully,New South Wales,Central West
Shell Cove,,
Shellharbour,,
Shellharbour City Centre,New South Wales,Illawarra
Shelly Beach (NSW),,
Sherwood (Clarence Valley - NSW),New South Wales,Coffs Harbour - Grafton
Sherwood (Kempsey - NSW),New South Wales,Mid North Coast
Sherwood (Kyogle - NSW),New South Wales,Richmond - Tweed
Shoal Bay (NSW),,
Shoalhaven Heads,,
Shooters Hill,New South Wales,Central West
Shortland,New South Wales,Newcastle and Lake Macquarie
Silent Grove,New South Wales,New England and North West
Silverdale (NSW),,
Silverton (NSW),,
Silverwater (Lake Macquarie - NSW),,
Silverwater (Parramatta - NSW),New South Wales,Sydney - Parramatta
Simpkins Creek,New South Wales,Richmond - Tweed
Singleton (NSW),New South Wales,Hunter Valley exc Newcastle
Singleton Heights,New South Wales,Hunter Valley exc Newcastle
Singleton Military Area,New South Wales,Hunter Valley exc Newcastle
Singletons Mill,,
Six Mile Swamp,New South Wales,Richmond - Tweed
Skennars Head,,
Skillion Flat,New South Wales,Mid North Coast
Skinners Shoot,New South Wales,Richmond - Tweed
Sleepy Hollow,New South Wales,Richmond - Tweed
Smeaton Grange,New South Wales,Sydney - Outer South West
Smiggin Holes,New South Wales,Capital Region
Smithfield (NSW),,
Smiths Creek (Clarence Valley - NSW),New South Wales,Coffs Harbour - Grafton
Smiths Creek (Kyogle - NSW),New South Wales,Richmond - Tweed
Smiths Creek (Tweed - NSW),New South Wales,Richmond - Tweed
Smiths Lake,New South Wales,Mid North Coast
Smithtown,New South Wales,Mid North Coast
Snakes Plain,New South Wales,Far West and Orana
Snowball,New South Wales,Capital Region
Snowy Plain,,
Sodwalls,New South Wales,Central West
Sofala,New South Wales,Central West
Soldiers Point,,
Somersby,New South Wales,Central Coast
Somerton (NSW),New South Wales,New England and North West
South Albury,,
South Arm (Clarence Valley - NSW),New South Wales,Coffs Harbour - Grafton
South Arm (Nambucca Valley - NSW),New South Wales,Mid North Coast
South Ballina,,
South Bathurst,New South Wales,Central West
South Bowenfels,New South Wales,Central West
South Coogee,,
South Durras,,
South Golden Beach,,
South Grafton,New South Wales,Coffs Harbour - Grafton
South Granville,New South Wales,Sydney - Parramatta
South Gundagai,New South Wales,Riverina
South Gundurimba,New South Wales,Richmond - Tweed
South Guyra,New South Wales,New England and North West
South Hurstville,New South Wales,Sydney - Inner South West
South Kempsey,New South Wales,Mid North Coast
South Lismore,New South Wales,Richmond - Tweed
South Littleton,New South Wales,Central West
South Maitland,New South Wales,Hunter Valley exc Newcastle
South Maroota,New South Wales,Sydney - Baulkham Hills and Hawkesbury
South Murwillumbah,New South Wales,Richmond - Tweed
South Nowra,New South Wales,Southern Highlands and Shoalhaven
South Pambula,New South Wales,Capital Region
South Penrith,New South Wales,Sydney - Outer West and Blue Mountains
South Tamworth,New South Wales,New England and North West
South Turramurra,,
South Wentworthville,New South Wales,Sydney - Parramatta
South West Rocks,,
South Windsor,,
South Wolumla,New South Wales,Capital Region
Southampton (NSW),New South Wales,Coffs Harbour - Grafton
Southgate,New South Wales,Coffs Harbour - Grafton
Speers Point,,
Speewa,,
Spencer,,
Spicers Creek,,
Spicketts Creek,,
Splitters Creek,,
Spring Creek (NSW),New South Wales,Central West
Spring Farm (NSW),New South Wales,Sydney - Outer South West
Spring Flat,New South Wales,Central West
Spring Grove,New South Wales,Richmond - Tweed
Spring Hill (Orange - NSW),New South Wales,Central West
Spring Hill (Wollongong - NSW),New South Wales,Illawarra
Spring Mountain (NSW),New South Wales,New England and North West
Spring Plains,New South Wales,New England and North West
Spring Ridge,New South Wales,New England and North West
Spring Terrace,New South Wales,Central West
Springdale (NSW),New South Wales,Riverina
Springdale Heights,New South Wales,Murray
Springfield (Central Coast - NSW),New South Wales,Central Coast
Springfield (Snowy Monaro Regional - NSW),New South Wales,Capital Region
Springrange,,
Springside (NSW),New South Wales,Central West
Springvale (NSW),New South Wales,Riverina
Springwood (NSW),New South Wales,Sydney - Outer West and Blue Mountains
St Albans (NSW),,
St Andrews (NSW),New South Wales,Sydney - Outer South West
St Clair (Penrith - NSW),New South Wales,Sydney - Outer West and Blue Mountains
St Clair (Singleton - NSW),New South Wales,Hunter Valley exc Newcastle
St Fillans,New South Wales,Central West
St George (NSW),New South Wales,Southern Highlands and Shoalhaven
St Georges Basin,,
St Helens Park,New South Wales,Sydney - Outer South West
St Huberts Island,,
St Ives (NSW),,
St Ives Chase,,
St Johns Park,New South Wales,Sydney - South West
St Leonards (NSW),New South Wales,Sydney - North Sydney and Hornsby
St Marys (NSW),,
St Peters (NSW),New South Wales,Sydney - City and Inner South
Stanborough,New South Wales,New England and North West
Stanbridge,New South Wales,Riverina
Stanford Merthyr,New South Wales,Hunter Valley exc Newcastle
Stanhope (NSW),New South Wales,Hunter Valley exc Newcastle
Stanhope Gardens,,
Stanmore (NSW),,
Stannifer,New South Wales,New England and North West
Stannum,New South Wales,New England and North West
Stanwell Park,,
Stanwell Tops,,
State Mine Gully,New South Wales,Central West
Steam Plains,,
Steeple Flat,New South Wales,Capital Region
Stewarts Brook,,
Stewarts River,New South Wales,Mid North Coast
Stockinbingal,,
Stockrington,,
Stockton (NSW),,
Stockyard Creek (NSW),New South Wales,Coffs Harbour - Grafton
Stokers Siding,New South Wales,Richmond - Tweed
Stonehenge (NSW),New South Wales,New England and North West
Stonequarry,New South Wales,Capital Region
Stony Chute,New South Wales,Richmond - Tweed
Stony Creek (Bega Valley - NSW),New South Wales,Capital Region
Stony Creek (Mid-Western Regional - NSW),New South Wales,Central West
Stony Crossing,New South Wales,Murray
Stotts Creek,New South Wales,Richmond - Tweed
Stratford (NSW),New South Wales,Mid North Coast
Strathcedar,New South Wales,Mid North Coast
Stratheden,New South Wales,Richmond - Tweed
Strathfield (NSW),,
Strathfield South,,
Stroud,New South Wales,Mid North Coast
Stroud Hill,,
Stroud Road,New South Wales,Mid North Coast
Stuart Town,New South Wales,Far West and Orana
Stuarts Point,,
Stubbo,New South Wales,Central West
Stud Park,New South Wales,Murray
Suffolk Park,,
Sugarloaf (NSW),New South Wales,Hunter Valley exc Newcastle
Summer Hill (Dungog - NSW),New South Wales,Hunter Valley exc Newcastle
Summer Hill (Inner West - NSW),New South Wales,Sydney - Inner West
Summer Hill Creek,New South Wales,Central West
Summer Island,New South Wales,Mid North Coast
Summerland Point,,
Sun Valley (NSW),New South Wales,Sydney - Outer West and Blue Mountains
Sunny Corner,New South Wales,Central West
Sunset Strip (NSW),New South Wales,Far West and Orana
Sunshine (NSW),,
Sunshine Bay,,
Suntop,New South Wales,Far West and Orana
Surf Beach (NSW),,
Surfside,,
Surry Hills,,
Sussex Inlet,,
Sutherland (NSW),New South Wales,Sydney - Sutherland
Sutton (NSW),,
Sutton Forest,New South Wales,Southern Highlands and Shoalhaven
Swan Bay (Port Stephens - NSW),,
Swan Bay (Richmond Valley - NSW),New South Wales,Richmond - Tweed
Swan Creek (NSW),New South Wales,Coffs Harbour - Grafton
Swan Vale,New South Wales,New England and North West
Swanbrook,New South Wales,New England and North West
Swanhaven,,
Swans Crossing,New South Wales,Mid North Coast
Swansea (NSW),,
Swansea Heads,,
Sweetmans Creek,New South Wales,Hunter Valley exc Newcastle
Sydenham (NSW),New South Wales,Sydney - City and Inner South
Sydney,,
Sydney Olympic Park,,
Sylvania,,
Sylvania Waters,,
Tabbil Creek,New South Wales,Hunter Valley exc Newcastle
Tabbimoble,,
Tabbita,New South Wales,Riverina
Table Top,,
Tabulam,,
Tacoma,,
Tacoma South,,
Tahlee,,
Tahmoor,New South Wales,Sydney - Outer South West
Talarm,New South Wales,Mid North Coast
Talawanta,New South Wales,Far West and Orana
Talbingo,New South Wales,Riverina
Tallawang,New South Wales,Central West
Tallawong,New South Wales,Sydney - Blacktown
Tallimba,New South Wales,Central West
Tallong,,
Tallowal,,
Tallowwood Ridge,New South Wales,Coffs Harbour - Grafton
Tallwood,New South Wales,Central West
Tallwoods Village,New South Wales,Mid North Coast
Talmalmo,,
Talofa,New South Wales,Richmond - Tweed
Taloumbi,New South Wales,Coffs Harbour - Grafton
Tamarama,,
Tamban,New South Wales,Mid North Coast
Tambar Springs,,
Tambaroora,New South Wales,Central West
Taminda,New South Wales,New England and North West
Tamworth,New South Wales,New England and North West
Tanglewood,New South Wales,Richmond - Tweed
Tanilba Bay,,
Tanja,,
Tannas Mount,New South Wales,Central West
Tantangara,,
Tantawangalo,New South Wales,Capital Region
Tantonan,New South Wales,Murray
Tapitallee,New South Wales,Southern Highlands and Shoalhaven
Tara (NSW),New South Wales,Riverina
Taradale (NSW),New South Wales,Riverina
Tarago,New South Wales,Capital Region
Taralga,New South Wales,Capital Region
Tarana,New South Wales,Central West
Tarban,,
Tarbuck Bay,New South Wales,Mid North Coast
Tarcutta,New South Wales,Riverina
Taree,New South Wales,Mid North Coast
Taree South,New South Wales,Mid North Coast
Taren Point,,
Tarlo,New South Wales,Capital Region
Tarraganda,New South Wales,Capital Region
Tarrawanna,New South Wales,Illawarra
Tarriaro,New South Wales,New England and North West
Tarro,,
Tascott,,
Tatham,New South Wales,Richmond - Tweed
Tathra,,
Tatton,New South Wales,Riverina
Taylors Arm,New South Wales,Mid North Coast
Taylors Beach (NSW),,
Taylors Flat,New South Wales,Capital Region
Tea Gardens,,
Telarah,New South Wales,Hunter Valley exc Newcastle
Telegraph Point,New South Wales,Mid North Coast
Telopea,New South Wales,Sydney - Parramatta
Temagog,New South Wales,Mid North Coast
Temora,New South Wales,Riverina
Tempe,,
Ten Mile Hollow,,
Tenambit,New South Wales,Hunter Valley exc Newcastle
Tenandra,New South Wales,Far West and Orana
Tennyson (NSW),,
Tennyson Point,,
Tenterden (NSW),New South Wales,New England and North West
Tenterfield,New South Wales,New England and North West
Teralba,,
Terania Creek,New South Wales,Richmond - Tweed
Terara,New South Wales,Southern Highlands and Shoalhaven
Teridgerie,New South Wales,Far West and Orana
Termeil,,
Terrabella,New South Wales,Far West and Orana
Terrace Creek,New South Wales,Richmond - Tweed
Terragon,New South Wales,Richmond - Tweed
Terramungamine,New South Wales,Far West and Orana
Terranora,,
Terreel,New South Wales,Mid North Coast
Terrey Hills,New South Wales,Sydney - Northern Beaches
Terrigal,,
Terry Hie Hie,New South Wales,New England and North West
Teven,New South Wales,Richmond - Tweed
Tewinga,New South Wales,Mid North Coast
Texas (NSW),,
Thalgarrah,New South Wales,New England and North West
Tharbogang,New South Wales,Riverina
The Angle,,
The Basin (NSW),New South Wales,New England and North West
The Bight,New South Wales,Mid North Coast
The Branch,,
The Brothers,New South Wales,Capital Region
The Channon,New South Wales,Richmond - Tweed
The Devils Wilderness,,
The Entrance,,
The Entrance North,,
The Freshwater,,
The Gap (Richmond Valley - NSW),,
The Gap (Wagga Wagga - NSW),New South Wales,Riverina
The Glen (NSW),New South Wales,Richmond - Tweed
The Gulf,,
The Hatch,New South Wales,Mid North Coast
The Hill,,
The Junction,New South Wales,Newcastle and Lake Macquarie
The Lagoon,New South Wales,Central West
The Marra,New South Wales,Far West and Orana
The Meadows,New South Wales,Central West
The Oaks,New South Wales,Sydney - Outer South West
The Pilliga,,
The Pinnacles,New South Wales,Coffs Harbour - Grafton
The Pocket,New South Wales,Richmond - Tweed
The Ponds,New South Wales,Sydney - Blacktown
The Ridgeway,,
The Risk,New South Wales,Richmond - Tweed
The Rock,New South Wales,Riverina
The Rocks (Bathurst Regional - NSW),New South Wales,Central West
The Rocks (Sydney - NSW),,
The Sandon,,
The Slopes,New South Wales,Sydney - Baulkham Hills and Hawkesbury
The Whiteman,New South Wales,Coffs Harbour - Grafton
Theresa Creek (NSW),New South Wales,Richmond - Tweed
Theresa Park,,
Thirldene,New South Wales,New England and North West
Thirlmere,New South Wales,Sydney - Outer South West
Thirroul,,
Thora,New South Wales,Coffs Harbour - Grafton
Thornleigh,,
Thornton (NSW),,
Thredbo,,
Thrumster,New South Wales,Mid North Coast
Thuddungra,New South Wales,Capital Region
Thule,,
Thumb Creek,New South Wales,Mid North Coast
Thurgoona,,
Thyra,New South Wales,Murray
Tianjara,New South Wales,Southern Highlands and Shoalhaven
Tibbuc,New South Wales,Mid North Coast
Tibooburra,,
Tichborne,New South Wales,Central West
Tichular,New South Wales,Central West
Tighes Hill,New South Wales,Newcastle and Lake Macquarie
Tilba Tilba,New South Wales,Capital Region
Tilbuster,New South Wales,New England and North West
Tilligerry Creek,New South Wales,Hunter Valley exc Newcastle
Tilpa,New South Wales,Far West and Orana
Timbarra (NSW),New South Wales,New England and North West
Timbillica,,
Timbumburi,New South Wales,New England and North West
Timor (NSW),,
Tindarey,New South Wales,Far West and Orana
Tinderry,New South Wales,Capital Region
Tingha,New South Wales,New England and North West
Tingira Heights,New South Wales,Newcastle and Lake Macquarie
Tinonee,New South Wales,Mid North Coast
Tinpot,New South Wales,Capital Region
Tintenbar,New South Wales,Richmond - Tweed
Tintinhull,New South Wales,New England and North West
Tiona,,
Tipperary (NSW),New South Wales,Mid North Coast
Tiri,New South Wales,Mid North Coast
Tirrannaville,New South Wales,Capital Region
Titaatee Creek,New South Wales,Mid North Coast
Tocal,New South Wales,Hunter Valley exc Newcastle
Tocumwal,,
Tolbar,New South Wales,Capital Region
Tolland,New South Wales,Riverina
Tolwong,,
Tomago,,
Tomakin,,
Tomalla,,
Tombong,New South Wales,Capital Region
Tomboye,New South Wales,Capital Region
Tomerong,New South Wales,Southern Highlands and Shoalhaven
Tomewin,,
Tomingley,,
Tomki,New South Wales,Richmond - Tweed
Toms Creek,New South Wales,Mid North Coast
Tonderburine,New South Wales,Far West and Orana
Tongarra,,
Toogong,New South Wales,Central West
Tooleybuc,,
Toolijooa,,
Tooloom,,
Tooloon,New South Wales,Far West and Orana
Tooma,New South Wales,Riverina
Toongabbie (NSW),,
Toongi,New South Wales,Far West and Orana
Toonumbar,New South Wales,Richmond - Tweed
Tooranie,New South Wales,Murray
Tooraweenah,New South Wales,Far West and Orana
Toormina,New South Wales,Coffs Harbour - Grafton
Toorooka,New South Wales,Mid North Coast
Toothdale,New South Wales,Capital Region
Tootool,New South Wales,Riverina
Toowoon Bay,,
Topi Topi,New South Wales,Mid North Coast
Toronto,,
Torrington (NSW),New South Wales,New England and North West
Torryburn (Dungog - NSW),New South Wales,Hunter Valley exc Newcastle
Torryburn (Uralla - NSW),New South Wales,New England and North West
Totnes Valley,New South Wales,Central West
Tottenham (NSW),,
Touga,,
Toukley,,
Towallum,New South Wales,Coffs Harbour - Grafton
Towamba,New South Wales,Capital Region
Townsend,New South Wales,Coffs Harbour - Grafton
Towradgi,,
Towrang,New South Wales,Capital Region
Tralee,,
Trangie,New South Wales,Far West and Orana
Tregeagle,New South Wales,Richmond - Tweed
Tregear,,
Trenayr,New South Wales,Coffs Harbour - Grafton
Trentham Cliffs,,
Trewilga,New South Wales,Central West
Triamble,,
Triangle Flat,New South Wales,Central West
Trundle,New South Wales,Central West
Trungley Hall,New South Wales,Riverina
Trunkey Creek,New South Wales,Central West
Tubbamurra,New South Wales,New England and North West
Tubbul,New South Wales,Capital Region
Tucabia,New South Wales,Coffs Harbour - Grafton
Tucki Tucki,New South Wales,Richmond - Tweed
Tuckombil,New South Wales,Richmond - Tweed
Tuckurimba,New South Wales,Richmond - Tweed
Tuena,,
Tuggerah,,
Tuggerawong,,
Tugrabakh,New South Wales,Mid North Coast
Tullakool,New South Wales,Murray
Tullamore,,
Tullarwalla,New South Wales,Southern Highlands and Shoalhaven
Tullera,New South Wales,Richmond - Tweed
Tullibigeal,New South Wales,Central West
Tullimbar,New South Wales,Illawarra
Tulloona,New South Wales,New England and North West
Tullymorgan,New South Wales,Coffs Harbour - Grafton
Tumbarumba,New South Wales,Riverina
Tumbi Umbi,New South Wales,Central Coast
Tumblong,New South Wales,Riverina
Tumbulgum,New South Wales,Richmond - Tweed
Tumorrama,,
Tumut,New South Wales,Riverina
Tumut Plains,New South Wales,Riverina
Tuncester,New South Wales,Richmond - Tweed
Tuncurry,,
Tunglebung,New South Wales,Richmond - Tweed
Tuntable Creek,New South Wales,Richmond - Tweed
Tuppal,New South Wales,Murray
Tura Beach,,
Turill,,
Turlinjah,New South Wales,Capital Region
Turners Flat,New South Wales,Mid North Coast
Turondale,New South Wales,Central West
Tuross,New South Wales,Capital Region
Tuross Head,,
Turramurra,New South Wales,Sydney - North Sydney and Hornsby
Turrawan,New South Wales,New England and North West
Turrella,New South Wales,Sydney - Inner South West
Turvey Park,New South Wales,Riverina
Tweed Heads,,
Tweed Heads South,,
Tweed Heads West,,
Twelve Mile,,
Twelve Mile Creek,,
Twelve Mile Peg,New South Wales,Southern Highlands and Shoalhaven
Twenty Forests,New South Wales,Central West
Twin Rivers,,
Two Mile Flat,New South Wales,Central West
Tyagarah,,
Tyalgum,New South Wales,Richmond - Tweed
Tyalgum Creek,,
Tygalgah,New South Wales,Richmond - Tweed
Tyndale,New South Wales,Coffs Harbour - Grafton
Tyringham,New South Wales,Coffs Harbour - Grafton
Uarbry,,
Uki,New South Wales,Richmond - Tweed
Ulamambri,New South Wales,Far West and Orana
Ulan,New South Wales,Central West
Ulladulla,,
Ulmarra,New South Wales,Coffs Harbour - Grafton
Ulong,New South Wales,Coffs Harbour - Grafton
Ultimo,New South Wales,Sydney - City and Inner South
Umina Beach,,
Unanderra,New South Wales,Illawarra
Underbank,New South Wales,Hunter Valley exc Newcastle
Undercliffe,New South Wales,New England and North West
Ungarie,New South Wales,Central West
Unumgar,New South Wales,Richmond - Tweed
Upper Allyn,,
Upper Bingara,New South Wales,New England and North West
Upper Burringbar,New South Wales,Richmond - Tweed
Upper Bylong,,
Upper Colo,New South Wales,Sydney - Baulkham Hills and Hawkesbury
Upper Coopers Creek,New South Wales,Richmond - Tweed
Upper Copmanhurst,New South Wales,Coffs Harbour - Grafton
Upper Corindi,New South Wales,Coffs Harbour - Grafton
Upper Crystal Creek,,
Upper Dartbrook,,
Upper Duck Creek,New South Wales,Richmond - Tweed
Upper Duroby,New South Wales,Richmond - Tweed
Upper Eden Creek,New South Wales,Richmond - Tweed
Upper Fine Flower,,
Upper Growee,New South Wales,Central West
Upper Horseshoe Creek,New South Wales,Richmond - Tweed
Upper Horton,New South Wales,New England and North West
Upper Kangaroo River,,
Upper Kangaroo Valley,,
Upper Karuah River,,
Upper Lansdowne,New South Wales,Mid North Coast
Upper Macdonald,New South Wales,Sydney - Baulkham Hills and Hawkesbury
Upper Main Arm,New South Wales,Richmond - Tweed
Upper Mangrove,,
Upper Manilla,New South Wales,New England and North West
Upper Mongogarie,New South Wales,Richmond - Tweed
Upper Myall,New South Wales,Mid North Coast
Upper Nile,New South Wales,Central West
Upper Orara,New South Wales,Coffs Harbour - Grafton
Upper Pappinbarra,New South Wales,Mid North Coast
Upper Rollands Plains,New South Wales,Mid North Coast
Upper Rouchel,New South Wales,Hunter Valley exc Newcastle
Upper Taylors Arm,New South Wales,Mid North Coast
Upper Tooloom,,
Upper Turon,New South Wales,Central West
Upper Wilsons Creek,New South Wales,Richmond - Tweed
Upsalls Creek,New South Wales,Mid North Coast
Uralba,New South Wales,Richmond - Tweed
Uralla (NSW),New South Wales,New England and North West
Urana,,
Urangeline,,
Urangeline East,,
Uranquinty,New South Wales,Riverina
Urawilkie,New South Wales,Far West and Orana
Urbenville,,
Uriarra,,
Urila,New South Wales,Capital Region
Urliup,New South Wales,Richmond - Tweed
Urunga,,
Utungun,New South Wales,Mid North Coast
Vacy,New South Wales,Hunter Valley exc Newcastle
Vale Of Clwydd,New South Wales,Central West
Valentine,,
Valery,New South Wales,Coffs Harbour - Grafton
Valla,,
Valla Beach,,
Valley Heights,New South Wales,Sydney - Outer West and Blue Mountains
Varroville,,
Vaucluse,,
Verges Creek,New South Wales,Mid North Coast
Verona,New South Wales,Capital Region
Villawood,,
Vincentia,,
Vineyard,,
Violet Hill,New South Wales,Mid North Coast
Vittoria (NSW),New South Wales,Central West
Voyager Point,,
Wadalba,New South Wales,Central Coast
Wadbilliga,New South Wales,Capital Region
Wadeville,New South Wales,Richmond - Tweed
Wagga Wagga,New South Wales,Riverina
Wagstaffe,,
Wahroonga,,
Waitara,New South Wales,Sydney - North Sydney and Hornsby
Waitui,New South Wales,Mid North Coast
Wakefield,New South Wales,Newcastle and Lake Macquarie
Wakeley,New South Wales,Sydney - South West
Wakool,New South Wales,Murray
Walang,New South Wales,Central West
Walbundrie,,
Walcha,,
Walcha Road,New South Wales,New England and North West
Waldegrave,New South Wales,Central West
Walgett,New South Wales,Far West and Orana
Walla Walla,New South Wales,Murray
Wallabadah,,
Wallabi Point,,
Wallacetown,New South Wales,Riverina
Wallacia,,
Wallaga Lake,,
Wallagoot,,
Wallalong,New South Wales,Hunter Valley exc Newcastle
Wallamore,New South Wales,New England and North West
Wallanbah,New South Wales,Mid North Coast
Wallangra,New South Wales,New England and North West
Wallanthery,,
Wallarah,New South Wales,Central Coast
Wallaringa,New South Wales,Hunter Valley exc Newcastle
Wallarobba,New South Wales,Hunter Valley exc Newcastle
Wallaroo (NSW),,
Wallendbeen,,
Wallerawang,New South Wales,Central West
Walleroobie,New South Wales,Riverina
Wallingat,New South Wales,Mid North Coast
Wallis Lake,New South Wales,Mid North Coast
Wallsend,New South Wales,Newcastle and Lake Macquarie
Walmer (NSW),New South Wales,Far West and Orana
Wamban,New South Wales,Capital Region
Wambangalang,New South Wales,Far West and Orana
Wamberal,,
Wamboin,,
Wambool,New South Wales,Central West
Wambrook,New South Wales,Capital Region
Wanaaring,,
Wandandian,New South Wales,Southern Highlands and Shoalhaven
Wandella (NSW),New South Wales,Capital Region
Wandera,New South Wales,New England and North West
Wandook,New South Wales,Murray
Wandsworth,New South Wales,New England and North West
Wang Wauk,New South Wales,Mid North Coast
Wanganella,New South Wales,Murray
Wanganui,New South Wales,Richmond - Tweed
Wangi Wangi,,
Wantabadgery,New South Wales,Riverina
Wantagong,New South Wales,Murray
Wantiool,New South Wales,Riverina
Wapengo,,
Warabrook,New South Wales,Newcastle and Lake Macquarie
Waratah (NSW),New South Wales,Newcastle and Lake Macquarie
Waratah West,New South Wales,Newcastle and Lake Macquarie
Warburn,New South Wales,Riverina
Wardell,New South Wales,Richmond - Tweed
Wardrop Valley,New South Wales,Richmond - Tweed
Wards Mistake,New South Wales,New England and North West
Wards River,New South Wales,Mid North Coast
Wareemba,New South Wales,Sydney - Inner West
Warialda,New South Wales,New England and North West
Warialda Rail,New South Wales,New England and North West
Warilla,,
Warkworth,New South Wales,Hunter Valley exc Newcastle
Warners Bay,,
Warnervale,New South Wales,Central Coast
Warrabah,New South Wales,New England and North West
Warraderry,New South Wales,Central West
Warragai Creek,New South Wales,Coffs Harbour - Grafton
Warragamba,New South Wales,Sydney - Outer West and Blue Mountains
Warragoon,New South Wales,Murray
Warrah,New South Wales,New England and North West
Warrah Creek,,
Warrah Ridge,New South Wales,New England and North West
Warral,New South Wales,New England and North West
Warranulla,New South Wales,Mid North Coast
Warrawee,New South Wales,Sydney - North Sydney and Hornsby
Warrawidgee,New South Wales,Riverina
Warrawong,,
Warrazambil Creek,New South Wales,Richmond - Tweed
Warregah Island,New South Wales,Coffs Harbour - Grafton
Warrell Creek,New South Wales,Mid North Coast
Warren,New South Wales,Far West and Orana
Warri,New South Wales,Capital Region
Warriewood,,
Warrimoo,New South Wales,Sydney - Outer West and Blue Mountains
Warroo (NSW),New South Wales,Central West
Warrumbungle,New South Wales,Far West and Orana
Warwick Farm,New South Wales,Sydney - South West
Washpool (Clarence Valley - NSW),,
Washpool (Mid-Coast - NSW),New South Wales,Mid North Coast
Watagan,New South Wales,Hunter Valley exc Newcastle
Watanobbi,New South Wales,Central Coast
Waterfall,,
Waterloo (NSW),,
Watersleigh,New South Wales,Southern Highlands and Shoalhaven
Waterview,New South Wales,Coffs Harbour - Grafton
Waterview Heights,New South Wales,Coffs Harbour - Grafton
Watsons Bay,,
Watsons Creek (NSW),New South Wales,New England and North West
Wattamolla,,
Wattamondara,New South Wales,Central West
Wattle Flat (NSW),New South Wales,Central West
Wattle Grove (NSW),New South Wales,Sydney - South West
Wattle Ponds,New South Wales,Hunter Valley exc Newcastle
Wattle Ridge (NSW),,
Watton,New South Wales,Central West
Wauchope,New South Wales,Mid North Coast
Waugorah,New South Wales,Murray
Waukivory,New South Wales,Mid North Coast
Waverley (NSW),New South Wales,Sydney - Eastern Suburbs
Waverly,New South Wales,Hunter Valley exc Newcastle
Waverton,,
Way Way,,
Wayo,New South Wales,Capital Region
Weabonga,New South Wales,New England and North West
Wean,New South Wales,New England and North West
Webbers Creek,New South Wales,Hunter Valley exc Newcastle
Webbs Creek,New South Wales,Sydney - Baulkham Hills and Hawkesbury
Wedderburn (NSW),New South Wales,Sydney - Outer South West
Wee Jasper,,
Wee Waa,New South Wales,New England and North West
Weedallion,New South Wales,Capital Region
Weemelah,New South Wales,New England and North West
Weetaliba,New South Wales,Far West and Orana
Weethalle,,
Weilmoringle,,
Weismantels,New South Wales,Mid North Coast
Welaregang,,
Welby,New South Wales,Southern Highlands and Shoalhaven
Wellingrove,New South Wales,New England and North West
Wellington (NSW),New South Wales,Far West and Orana
Wellington Vale,New South Wales,New England and North West
Wells Crossing,New South Wales,Coffs Harbour - Grafton
Wendoree Park,,
Wentworth (NSW),,
Wentworth Falls,New South Wales,Sydney - Outer West and Blue Mountains
Wentworth Point,,
Wentworthville,New South Wales,Sydney - Parramatta
Werai,New South Wales,Southern Highlands and Shoalhaven
Wereboldera,New South Wales,Riverina
Wermatong,New South Wales,Riverina
Werombi,,
Werri Beach,,
Werrikimbe,,
Werrington,New South Wales,Sydney - Outer West and Blue Mountains
Werrington County,New South Wales,Sydney - Outer West and Blue Mountains
Werrington Downs,New South Wales,Sydney - Outer West and Blue Mountains
Werris Creek,New South Wales,New England and North West
West Albury,,
West Ballina,,
West Bathurst,New South Wales,Central West
West Bungawalbin,New South Wales,Richmond - Tweed
West Coraki,New South Wales,Richmond - Tweed
West Gosford,,
West Haven,New South Wales,Mid North Coast
West Hoxton,New South Wales,Sydney - South West
West Kempsey,New South Wales,Mid North Coast
