suburb,state,assigned_region,latitude,longitude
Belmont South,,,-33.0493,151.6569
Belmore,New South Wales,Sydney - Inner South West,-33.919,151.0894
Belmore River,,,-31.0945,152.9827
Beloka,New South Wales,Capital Region,-36.5263,148.7383
Belowra,New South Wales,Capital Region,-36.199,149.7088
Belrose,,,-33.7395,151.2103
Bemboka,New South Wales,Capital Region,-36.6289,149.5718
Ben Bullen,New South Wales,Central West,-33.2167,150.0333
Ben Lomond (NSW),New South Wales,New England and North West,,
Benandarah,,,-35.6333,150.25
Bendalong,,,-35.2189,150.486
Bendemeer,New South Wales,New England and North West,-30.8865,151.1535
Bendick Murrell,New South Wales,Capital Region,-34.1667,148.4333
Bendolba,New South Wales,Hunter Valley exc Newcastle,-32.3518,151.7301
Bendoura,New South Wales,Capital Region,-35.5167,149.7
Benerembah,New South Wales,Riverina,-34.5565,145.8753
Bengalla,New South Wales,Hunter Valley exc Newcastle,-32.2971,150.7311
Bennetts Green,New South Wales,Newcastle and Lake Macquarie,-32.9955,151.6879
Benolong,New South Wales,Far West and Orana,-32.4282,148.7018
Bensville,,,-33.4976,151.3808
Bentley (NSW),New South Wales,Richmond - Tweed,,
Berala,New South Wales,Sydney - Parramatta,-33.872,151.0339
Berambing,,,-33.5326,150.4439
Beresfield,,,-32.8,151.65
Bergalia,New South Wales,Capital Region,-35.9818,150.1012
Berkeley,,,-34.4833,150.85
Berkeley Vale,,,-33.35,151.4333
Berkshire Park,,,-33.6728,150.7752
Berlang,New South Wales,Capital Region,-35.4753,149.7926
Bermagui,,,-36.419,150.0636
Berowra,,,-33.6208,151.1509
Berowra Heights,,,-33.6121,151.1375
Berowra Waters,,,-33.6035,151.1202
Berrambool,New South Wales,Capital Region,-36.8815,149.9066
Berrambool,New South Wales,Capital Region,-37.5575,142.6591
Berrara,,,-35.205,150.5525
Berremangra,,,-34.8,148.4833
Berrico,New South Wales,Mid North Coast,-32.0618,151.786
Berridale,New South Wales,Capital Region,-36.3667,148.8277
Berrigal,New South Wales,New England and North West,-30.0177,150.0787
Berrigan,New South Wales,Murray,-35.6588,145.8114
Berrilee,,,-33.6155,151.0914
Berrima,New South Wales,Southern Highlands and Shoalhaven,-34.4877,150.339
Berringer Lake,New South Wales,Southern Highlands and Shoalhaven,-35.2521,150.5024
Berry,,,-34.7751,150.6944
Berry Jerry,New South Wales,Riverina,-34.7575,147.1954
Berry Jerry,New South Wales,Riverina,-35.1774,147.3882
Berry Mountain,New South Wales,Southern Highlands and Shoalhaven,-34.7641,150.6476
Berry Park,New South Wales,Hunter Valley exc Newcastle,-32.7438,151.6574
Berthong,,,-34.2161,148.1176
Beryl,New South Wales,Central West,-32.3485,149.4429
Bethungra,New South Wales,Riverina,-34.761,147.8554
Bevendale,New South Wales,Capital Region,-34.5333,149.1167
Beverley Park,New South Wales,Sydney - Inner South West,-33.9771,151.1344
Beverly Hills,New South Wales,Sydney - Inner South West,-33.948,151.0798
Bewong,New South Wales,Southern Highlands and Shoalhaven,-35.0866,150.532
Bexhill,New South Wales,Richmond - Tweed,-28.7499,153.35
Bexley,New South Wales,Sydney - Inner South West,-33.95,151.1167
Bexley North,New South Wales,Sydney - Inner South West,-33.9385,151.1139
Biala,New South Wales,Capital Region,-34.5946,149.2626
Bibbenluke,New South Wales,Capital Region,-36.8134,149.2863
Biddon,New South Wales,Far West and Orana,-31.5602,148.8023
Bidgeemia,,,-35.8976,147.3391
Bidwill (NSW),New South Wales,Sydney - Blacktown,,
Bielsdown Hills,New South Wales,Coffs Harbour - Grafton,-30.3677,152.6814
Big Hill (NSW),,,,
Big Jacks Creek,,,-31.7618,150.6055
Big Ridge,New South Wales,Hunter Valley exc Newcastle,-32.6377,151.093
Big Springs,New South Wales,Riverina,-35.1774,147.3882
Bigga,,,-34.0833,149.15
Bilambil,,,-28.2266,153.4676
Bilambil Heights,,,-28.2161,153.4841
Bilbul,New South Wales,Riverina,-34.2718,146.1405
Bilgola Beach,,,-33.6449,151.3243
Bilgola Plateau,New South Wales,Sydney - Northern Beaches,-33.6478,151.3121
Billeroy,New South Wales,Far West and Orana,-30.7,148.45
Billilingra,New South Wales,Capital Region,-36.0193,149.1286
Billimari,New South Wales,Central West,-33.6741,148.6196
Billinudgel,New South Wales,Richmond - Tweed,-28.5032,153.529
Billys Creek,New South Wales,Coffs Harbour - Grafton,-30.1674,152.5747
Billywillinga,New South Wales,Central West,-33.3037,149.4396
Bilpin,,,-33.5,150.5333
Bimberi,,,-35.3497,148.9986
Bimbi,,,-34.05,147.95
Bimbimbie,New South Wales,Capital Region,-35.8478,150.1322
Binalong,New South Wales,Capital Region,-34.6717,148.6348
Binda,New South Wales,Capital Region,-34.3333,149.3667
Bindera,New South Wales,Mid North Coast,-32.0478,151.8331
Bingara,New South Wales,New England and North West,-29.8693,150.572
Bingeebeebra Creek,New South Wales,Richmond - Tweed,-28.8365,152.7943
Bingie,,,-36.0105,150.1483
Bingleburra,New South Wales,Hunter Valley exc Newcastle,-32.3802,151.6238
Biniguy,New South Wales,New England and North West,-29.5435,150.2033
Binjura,New South Wales,Capital Region,-36.1734,149.1083
Binna Burra (NSW),New South Wales,Richmond - Tweed,,
Binnaway,New South Wales,Far West and Orana,-31.5523,149.3787
Binya,,,-34.2391,146.3376
Birchgrove,,,-33.8516,151.1824
Birdwood (NSW),New South Wales,Mid North Coast,,
Birganbigil,New South Wales,Murray,-35.5058,145.1354
Birmingham Gardens,New South Wales,Newcastle and Lake Macquarie,-32.8937,151.6901
Birriwa,New South Wales,Central West,-32.1167,149.4667
Birrong,,,-33.8925,151.0207
Bishops Bridge,New South Wales,Hunter Valley exc Newcastle,-32.7455,151.4689
Bithramere,New South Wales,New England and North West,-31.1357,150.7811
Black Creek (Port Macquarie-Hastings - NSW),New South Wales,Mid North Coast,,
Black Creek (Snowy Valleys - NSW),New South Wales,Riverina,,
Black Head,,,-32.0717,152.5349
Black Hill (NSW),,,,
Black Hollow,New South Wales,Far West and Orana,-31.311,148.6349
Black Mountain (NSW),New South Wales,New England and North West,,
Black Range (NSW),New South Wales,Capital Region,,
Black Springs (NSW),New South Wales,Central West,,
Blackalls Park,,,-32.9989,151.5802
Blackbutt (NSW),New South Wales,Illawarra,,
Blackett,New South Wales,Sydney - Blacktown,-33.7379,150.8181
Blackheath,,,-33.6357,150.2832
Blackheath,,,-36.4667,142.25
Blackmans Flat,New South Wales,Central West,-33.3656,150.0651
Blackmans Point,New South Wales,Mid North Coast,-31.3906,152.8314
Blacksmiths,,,-33.0717,151.6553
Blacktown,New South Wales,Sydney - Blacktown,-33.7667,150.9167
Blackville,New South Wales,New England and North West,-31.6438,150.2361
Blackwall (NSW),,,,
Blair Athol (NSW),New South Wales,Sydney - Outer South West,,
Blairmount,New South Wales,Sydney - Outer South West,-34.0508,150.7924
Blakebrook,New South Wales,Richmond - Tweed,-28.7603,153.2384
Blakehurst,,,-33.9915,151.1088
Blakney Creek,New South Wales,Capital Region,-34.633,149.0212
Bland,,,-33.9833,147.6833
Blandford,,,-31.7849,150.8935
Blaxland (NSW),New South Wales,Sydney - Outer West and Blue Mountains,,
Blaxlands Creek,New South Wales,Coffs Harbour - Grafton,-29.8656,152.798
Blaxlands Ridge,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.4733,150.7981
Blayney,New South Wales,Central West,-33.5323,149.2537
Bligh Park,New South Wales,Sydney - Outer West and Blue Mountains,-33.6398,150.8025
Blighty,New South Wales,Murray,-35.5883,145.2859
Blowering,New South Wales,Riverina,-35.5117,148.2658
Blue Bay,,,-33.3541,151.5002
Blue Haven,New South Wales,Central Coast,-33.2111,151.5035
Blue Knob,New South Wales,Richmond - Tweed,-28.5448,153.1868
Blue Mountains National Park,,,,
Blue Nobby,New South Wales,New England and North West,-29.0818,150.6586
Blue Vale,New South Wales,New England and North West,-30.8074,150.1541
Blueys Beach,,,-32.3472,152.5357
Boambee,New South Wales,Coffs Harbour - Grafton,-30.3398,153.0678
Boambee East,New South Wales,Coffs Harbour - Grafton,-30.3466,153.0732
Boambolo,New South Wales,Capital Region,-34.7665,148.8247
Boat Harbour (Lismore - NSW),New South Wales,Richmond - Tweed,,
Boat Harbour (Port Stephens - NSW),,,,
Bobadah,,,-32.3083,146.6914
Bobin,New South Wales,Mid North Coast,-31.7167,152.2833
Bobs Creek,New South Wales,Mid North Coast,-31.5872,152.7536
Bobs Farm,,,-32.7667,152.0167
Bobundara,New South Wales,Capital Region,-36.5155,148.9385
Boco,New South Wales,Capital Region,-36.6037,149.3151
Bocoble,New South Wales,Central West,-32.8029,149.7339
Bocobra,New South Wales,Central West,-33.1401,148.5662
Bodalla,,,-36.0912,150.0506
Bodangora,New South Wales,Far West and Orana,-32.45,149.0
Boeill Creek,,,-34.1432,142.1201
Bogan,,,-31.5514,147.7264
Bogan,,,-31.8478,147.7215
Bogan Gate,New South Wales,Central West,-33.1167,147.8167
Bogangar,New South Wales,Richmond - Tweed,-28.3294,153.5686
Bogee,New South Wales,Central West,-32.9944,150.1008
Boggabilla,,,-28.6048,150.3593
Boggabri,New South Wales,New England and North West,-30.7095,150.0412
Bogong Peaks Wilderness,New South Wales,Riverina,-35.3216,148.3333
Bohena Creek,New South Wales,New England and North West,-30.4077,149.6323
Bohnock,New South Wales,Mid North Coast,-31.95,152.5667
Bolaro,New South Wales,Capital Region,-35.9708,148.8958
Bolivia,New South Wales,New England and North West,-29.3015,151.9539
Bolong,New South Wales,Southern Highlands and Shoalhaven,-34.85,150.6667
Bolton Point,,,-33.0018,151.6101
Bolwarra (NSW),New South Wales,Hunter Valley exc Newcastle,,
Bolwarra Heights,New South Wales,Hunter Valley exc Newcastle,-32.701,151.5854
Bom Bom,New South Wales,Coffs Harbour - Grafton,-29.5934,152.8727
Bomaderry,New South Wales,Southern Highlands and Shoalhaven,-34.8497,150.6109
Bombah Point,New South Wales,Mid North Coast,-32.3299,152.2778
Bombala,New South Wales,Capital Region,-36.9121,149.2367
Bombay,New South Wales,Capital Region,-35.4753,149.7926
Bombira,New South Wales,Central West,-32.5719,149.6058
Bombo,,,-34.6521,150.8596
Bombowlee,New South Wales,Riverina,-35.2628,148.2449
Bombowlee Creek,New South Wales,Riverina,-35.2721,148.3231
Bomen,New South Wales,Riverina,-35.0667,147.4167
Bonalbo,New South Wales,Richmond - Tweed,-28.7366,152.6226
Bondi,,,-33.8943,151.2644
Bondi Beach,,,-33.8908,151.2785
Bondi Forest,,,-36.8941,149.2132
Bondi Junction,New South Wales,Sydney - Eastern Suburbs,-33.8928,151.2472
Bonnells Bay,,,-33.1097,151.5323
Bonnet Bay,,,-34.0102,151.0525
Bonny Hills,,,-31.5906,152.8391
Bonnyrigg,New South Wales,Sydney - South West,-33.8936,150.8891
Bonnyrigg Heights,New South Wales,Sydney - South West,-33.8912,150.8699
Bonshaw (NSW),,,,
Bonville,New South Wales,Coffs Harbour - Grafton,-30.3828,153.0596
Booerie Creek,New South Wales,Richmond - Tweed,-28.7825,153.2434
Book Book,New South Wales,Riverina,-35.3693,147.5624
Booker Bay,,,-33.5125,151.3459
Bookham,,,-34.8126,148.6396
Bookookoorara,,,-28.7697,152.094
Bookram,New South Wales,Coffs Harbour - Grafton,-29.717,153.227
Boolambayte,New South Wales,Mid North Coast,-32.3982,152.2696
Boolaroo,New South Wales,Newcastle and Lake Macquarie,-32.947,151.6277
Boolcarroll,New South Wales,New England and North West,-30.5049,149.4088
Booligal,,,-34.2831,144.5944
Boolijah,New South Wales,Southern Highlands and Shoalhaven,-35.0036,150.586
Boomanoomana,,,-35.8831,145.7929
Boomerang Beach,,,-32.3376,152.5416
Boomey,,,-32.9927,148.9636
Boomi,,,-28.7233,149.5794
Boomi Creek,New South Wales,Richmond - Tweed,-28.4664,152.6045
Boona Mount,New South Wales,Central West,-32.621,147.1822
Boonal,New South Wales,New England and North West,-28.736,150.6239
Boonoo Boonoo,,,-28.8777,152.1012
Boorabee Park,New South Wales,Richmond - Tweed,-28.6863,153.0489
Booragul,,,-32.9749,151.6098
Booral (NSW),,,,
Boorga,New South Wales,Riverina,-34.0326,146.021
Boorganna,New South Wales,Mid North Coast,-31.6208,152.3752
Boorolong,New South Wales,New England and North West,-30.3235,151.5346
Boorook,,,-28.8501,152.2639
Boorooma,New South Wales,Riverina,-35.0744,147.3646
Boorooma,New South Wales,Riverina,-29.8526,148.1785
