suburb,state,latitude,longitude,assigned_region
Macgregor,ACT,-35.2098,149.011,Regional ACT
Spence,ACT,-35.1987,149.0644,
Belconnen,ACT,-35.238,149.0663,Australian Capital Territory
University Of Canberra,ACT,-35.2235,149.0863,Regional ACT
Belconnen Dc,ACT,-35.2235,149.0863,Regional ACT
Lawson,ACT,-35.2241,149.0998,Regional ACT
Evatt,ACT,-35.2119,149.0689,Australian Capital Territory
Giralang,ACT,-35.2109,149.096,Australian Capital Territory
Kaleen,ACT,-35.2181,149.1052,Australian Capital Territory
Bruce,ACT,-35.2441,149.0908,Regional ACT
Mckellar,ACT,-35.2175,149.077,Australian Capital Territory
Hall,ACT,-35.1685,149.0683,
Greenway,ACT,-35.4183,149.0666,Australian Capital Territory
Tuggeranong,ACT,-35.4165,149.0695,
Tuggeranong Dc,ACT,-35.4247,149.0982,Regional ACT
Kambah Village,ACT,-35.3862,149.058,Regional ACT
Kambah,ACT,-35.3862,149.058,Australian Capital Territory
Erindale Centre,ACT,-35.4037,149.0847,Regional ACT
Oxley,ACT,-35.4095,149.0786,Regional ACT
Wanniassa,ACT,-35.3978,149.0909,Australian Capital Territory
Macarthur,ACT,-35.4089,149.127,
Monash,ACT,-35.4158,149.0906,Regional ACT
Gowrie,ACT,-35.4119,149.109,Regional ACT
Fadden,ACT,-35.405,149.1166,Australian Capital Territory
Calwell,ACT,-35.4404,149.1071,Australian Capital Territory
Gilmore,ACT,-35.4199,149.1348,Regional ACT
Theodore,ACT,-35.4496,149.1197,Regional ACT
Richardson,ACT,-35.4279,149.1138,Australian Capital Territory
Chisholm,ACT,-35.4125,149.1283,Regional ACT
Isabella Plains,ACT,-35.4283,149.088,Australian Capital Territory
Bonython,ACT,-35.4333,149.0782,Australian Capital Territory
Gordon,ACT,-35.4568,149.085,Regional ACT
Banks,ACT,-35.4719,149.0997,Australian Capital Territory
Conder,ACT,-35.4593,149.1042,Australian Capital Territory
Mitchell,ACT,-35.217,149.137,Regional ACT
Kenny,ACT,-35.2283,149.1533,Regional ACT
Crace,ACT,-35.2028,149.1074,Australian Capital Territory
Gungahlin,ACT,-35.1867,149.1362,Australian Capital Territory
Taylor,ACT,-35.1489,149.1092,Australian Capital Territory
Casey,ACT,-35.167,149.0947,Australian Capital Territory
Nicholls,ACT,-35.1873,149.0965,Australian Capital Territory
Palmerston,ACT,-35.1945,149.1194,Regional ACT
Ginninderra Village,ACT,-35.1783,149.1124,Regional ACT
Ngunnawal,ACT,-35.1728,149.1115,Australian Capital Territory
Franklin,ACT,-35.1995,149.1433,Regional ACT
Throsby,ACT,-35.1865,149.1621,Australian Capital Territory
Forde,ACT,-35.1682,149.1461,Australian Capital Territory
Moncrieff,ACT,-35.1651,149.1179,Australian Capital Territory
Bonner,ACT,-35.1623,149.1386,Australian Capital Territory
Harrison,ACT,-35.1991,149.1563,Australian Capital Territory
Jacka,ACT,-35.1568,149.1288,Australian Capital Territory
Amaroo,ACT,-35.1696,149.128,Regional ACT
Hmas Creswell,ACT,-35.0036,150.586,Regional ACT
Jervis Bay,ACT,-35.0036,150.586,
Wreck Bay,ACT,-35.0036,150.586,Regional ACT
Chullora,NSW,-33.8923,151.0473,
Moorebank,NSW,-33.9437,150.9566,
Lavington Dc,NSW,-36.0362,146.935,Regional NSW
Hamilton Valley,NSW,-36.0379,146.9177,Murray
Springdale Heights,NSW,-36.031,146.9478,Murray
Lavington,NSW,-36.0398,146.9396,Murray
Albury Msc,NSW,-34.7062,146.4742,Regional NSW
Lake Hume Village,NSW,-36.2676,147.0798,
University Of New England,NSW,-30.7539,151.1366,Regional NSW
Old Mill,NSW,-29.9196,151.2146,New England and North West
Tingha,NSW,-29.9559,151.2125,New England and North West
Stannifer,NSW,-29.8833,151.2167,New England and North West
Shannon Vale,NSW,-29.6985,151.8679,New England and North West
Matheson,NSW,-29.7383,151.574,New England and North West
Swan Vale,NSW,-29.7734,151.4663,New England and North West
Glen Elgin,NSW,-29.5833,152.1167,New England and North West
Bald Nob,NSW,-29.6574,151.9586,New England and North West
