suburb,state,latitude,longitude,assigned_region,index_right,SA4_NAME21,final_region,was_different
Strathnairn,ACT,-35.21,149.0357,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Holt,ACT,-35.2244,149.0119,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Higgins,ACT,-35.2324,149.0272,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Macnamara,ACT,-35.21,149.0357,,101.0,Australian Capital Territory,Australian Capital Territory,True
Fraser,ACT,-35.1917,149.0453,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Kippax,ACT,-35.21,149.0357,Mid North Coast,101.0,Australian Capital Territory,Australian Capital Territory,True
Charnwood,ACT,-35.2002,149.0341,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Florey,ACT,-35.2259,149.05,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Dunlop,ACT,-35.194,149.0198,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Melba,ACT,-35.2102,149.0541,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Spence,ACT,-35.1987,149.0644,,101.0,Australian Capital Territory,Australian Capital Territory,True
Belconnen,ACT,-35.238,149.0663,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Evatt,ACT,-35.2119,149.0689,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Giralang,ACT,-35.2109,149.096,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Kaleen,ACT,-35.2181,149.1052,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Mckellar,ACT,-35.2175,149.077,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Hall,ACT,-35.1685,149.0683,,101.0,Australian Capital Territory,Australian Capital Territory,True
Greenway,ACT,-35.4183,149.0666,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Tuggeranong,ACT,-35.4165,149.0695,,101.0,Australian Capital Territory,Australian Capital Territory,True
Kambah,ACT,-35.3862,149.058,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Wanniassa,ACT,-35.3978,149.0909,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Macarthur,ACT,-35.4089,149.127,,101.0,Australian Capital Territory,Australian Capital Territory,True
Fadden,ACT,-35.405,149.1166,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Calwell,ACT,-35.4404,149.1071,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Richardson,ACT,-35.4279,149.1138,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Isabella Plains,ACT,-35.4283,149.088,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Bonython,ACT,-35.4333,149.0782,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Banks,ACT,-35.4719,149.0997,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Conder,ACT,-35.4593,149.1042,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Crace,ACT,-35.2028,149.1074,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Gungahlin,ACT,-35.1867,149.1362,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Taylor,ACT,-35.1489,149.1092,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Casey,ACT,-35.167,149.0947,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Nicholls,ACT,-35.1873,149.0965,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Ngunnawal,ACT,-35.1728,149.1115,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Throsby,ACT,-35.1865,149.1621,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Forde,ACT,-35.1682,149.1461,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Moncrieff,ACT,-35.1651,149.1179,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Bonner,ACT,-35.1623,149.1386,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Harrison,ACT,-35.1991,149.1563,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Jacka,ACT,-35.1568,149.1288,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Jervis Bay,ACT,-35.0036,150.586,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Chullora,NSW,-33.8923,151.0473,,18.0,Sydney - Inner South West,Sydney - Inner South West,True
Moorebank,NSW,-33.9437,150.9566,,26.0,Sydney - South West,Sydney - South West,True
Hamilton Valley,NSW,-36.0379,146.9177,Murray,8.0,Murray,Murray,False
Springdale Heights,NSW,-36.031,146.9478,Murray,8.0,Murray,Murray,False
Lavington,NSW,-36.0398,146.9396,Murray,8.0,Murray,Murray,False
Lake Hume Village,NSW,-36.2676,147.0798,,33.0,Hume,Hume,True
Old Mill,NSW,-29.9196,151.2146,New England and North West,9.0,New England and North West,New England and North West,False
Tingha,NSW,-29.9559,151.2125,New England and North West,9.0,New England and North West,New England and North West,False
Stannifer,NSW,-29.8833,151.2167,New England and North West,9.0,New England and North West,New England and North West,False
Shannon Vale,NSW,-29.6985,151.8679,New England and North West,9.0,New England and North West,New England and North West,False
Matheson,NSW,-29.7383,151.574,New England and North West,9.0,New England and North West,New England and North West,False
Swan Vale,NSW,-29.7734,151.4663,New England and North West,9.0,New England and North West,New England and North West,False
Glen Elgin,NSW,-29.5833,152.1167,New England and North West,9.0,New England and North West,New England and North West,False
Bald Nob,NSW,-29.6574,151.9586,New England and North West,9.0,New England and North West,New England and North West,False
Red Range,NSW,-29.7757,151.8966,New England and North West,9.0,New England and North West,New England and North West,False
Newton Boyd,NSW,-29.7976,152.2659,,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,True
Glen Innes,NSW,-29.7349,151.7385,New England and North West,9.0,New England and North West,New England and North West,False
Kookabookra,NSW,-30.0333,152.0667,New England and North West,9.0,New England and North West,New England and North West,False
Moggs Swamp,NSW,-29.9475,152.0668,,9.0,New England and North West,New England and North West,True
Pinkett,NSW,-29.6666,151.9262,New England and North West,9.0,New England and North West,New England and North West,False
Gibraltar Range,NSW,-29.6666,151.9262,,9.0,New England and North West,New England and North West,True
Yarrowford,NSW,-29.65,151.7833,New England and North West,9.0,New England and North West,New England and North West,False
Furracabad,NSW,-29.7818,151.6679,New England and North West,9.0,New England and North West,New England and North West,False
Dundee,NSW,-29.5724,151.8663,New England and North West,9.0,New England and North West,New England and North West,False
Reddestone,NSW,-29.5565,151.673,New England and North West,9.0,New England and North West,New England and North West,False
Moogem,NSW,-29.6666,151.9262,New England and North West,9.0,New England and North West,New England and North West,False
Diehard,NSW,-29.6666,151.9262,New England and North West,9.0,New England and North West,New England and North West,False
Wellingrove,NSW,-29.6334,151.5692,New England and North West,9.0,New England and North West,New England and North West,False
Kingsgate,NSW,-29.8006,152.0893,,9.0,New England and North West,New England and North West,True
Kingsland,NSW,-29.6666,151.9262,New England and North West,9.0,New England and North West,New England and North West,False
Rangers Valley,NSW,-29.5167,151.75,New England and North West,9.0,New England and North West,New England and North West,False
East Ballina,NSW,-28.8571,153.5874,,11.0,Richmond - Tweed,Richmond - Tweed,True
Pimlico Island,NSW,-28.8597,153.5354,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Kinvara,NSW,-28.7863,153.5189,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lennox Head,NSW,-28.7913,153.592,,11.0,Richmond - Tweed,Richmond - Tweed,True
South Ballina,NSW,-28.8841,153.5616,,11.0,Richmond - Tweed,Richmond - Tweed,True
Ballina,NSW,-28.8641,153.5654,,11.0,Richmond - Tweed,Richmond - Tweed,True
Tintenbar,NSW,-28.7988,153.522,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Empire Vale,NSW,-28.9168,153.5153,,11.0,Richmond - Tweed,Richmond - Tweed,True
Teven,NSW,-28.8167,153.5,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
West Ballina,NSW,-28.862,153.5329,,11.0,Richmond - Tweed,Richmond - Tweed,True
Cumbalum,NSW,-28.8225,153.5284,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Keith Hall,NSW,-28.8935,153.549,,11.0,Richmond - Tweed,Richmond - Tweed,True
Patchs Beach,NSW,-28.9474,153.5147,,11.0,Richmond - Tweed,Richmond - Tweed,True
Skennars Head,NSW,-28.8289,153.6021,,11.0,Richmond - Tweed,Richmond - Tweed,True
Nashua,NSW,-28.7275,153.469,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
