suburb,state,latitude,longitude,assigned_region,index_right,SA4_NAME21,final_region,was_different
Yabbra,NSW,-28.976,152.7656,,11.0,Richmond - Tweed,Richmond - Tweed,True
Bingeebeebra Creek,NSW,-28.8365,152.7943,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Haystack,NSW,-28.976,152.7656,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Coongbar,NSW,-29.1088,152.7224,,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,True
Rappville,NSW,-29.0867,152.9528,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Bottle Creek,NSW,-28.7888,152.6521,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Mororo,NSW,-29.3333,153.25,Coffs Harbour - Grafton,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,False
Pagans Flat,NSW,-28.976,152.7656,,11.0,Richmond - Tweed,Richmond - Tweed,True
Capeen Creek,NSW,-28.976,152.7656,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Jacksons Flat,NSW,-28.8436,152.5519,,11.0,Richmond - Tweed,Richmond - Tweed,True
Mallanganee,NSW,-28.9047,152.7231,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Ewingar,NSW,-29.09,152.5189,,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,True
Wyan,NSW,-29.0757,152.8706,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Simpkins Creek,NSW,-28.976,152.7656,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lower Duck Creek,NSW,-28.976,152.7656,,11.0,Richmond - Tweed,Richmond - Tweed,True
Six Mile Swamp,NSW,-28.976,152.7656,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Lower Bottle Creek,NSW,-28.8228,152.6009,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Louisa Creek,NSW,-29.0098,152.6048,,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,True
Joes Box,NSW,-28.976,152.7656,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Whiporie,NSW,-29.2879,152.9926,,11.0,Richmond - Tweed,Richmond - Tweed,True
Busbys Flat,NSW,-29.0485,152.8012,,11.0,Richmond - Tweed,Richmond - Tweed,True
Drake Village,NSW,-28.9283,152.3723,New England and North West,9.0,New England and North West,New England and North West,False
Duck Creek,NSW,-28.7128,152.5535,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Woombah,NSW,-29.3618,153.2824,,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,True
Tabulam,NSW,-28.8926,152.5686,,11.0,Richmond - Tweed,Richmond - Tweed,True
Clearfield,NSW,-29.1445,152.936,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Bulldog,NSW,-29.0421,152.5349,,3.0,Coffs Harbour - Grafton,Coffs Harbour - Grafton,True
Culmaran Creek,NSW,-28.8719,152.6917,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Gibberagee,NSW,-29.2318,153.1012,,11.0,Richmond - Tweed,Richmond - Tweed,True
Bungawalbin,NSW,-29.1101,153.2169,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Old Bonalbo,NSW,-28.6569,152.5974,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Drake,NSW,-28.9283,152.3723,,9.0,New England and North West,New England and North West,True
Bean Creek,NSW,-28.5761,152.5893,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Mummulgum,NSW,-28.8496,152.8048,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Doonbah,NSW,-29.087,153.3884,Richmond - Tweed,11.0,Richmond - Tweed,Richmond - Tweed,False
Evans Head,NSW,-29.1178,153.4307,,11.0,Richmond - Tweed,Richmond - Tweed,True
Potts Point,NSW,-33.867,151.2259,,16.0,Sydney - City and Inner South,Sydney - City and Inner South,True
North Ryde,NSW,-33.7968,151.1244,,25.0,Sydney - Ryde,Sydney - Ryde,True
Ryde,NSW,-33.8188,151.1062,,25.0,Sydney - Ryde,Sydney - Ryde,True
Chatswood West,NSW,-33.794,151.1649,,20.0,Sydney - North Sydney and Hornsby,Sydney - North Sydney and Hornsby,True
Chatswood,NSW,-33.8,151.1833,Sydney - North Sydney and Hornsby,20.0,Sydney - North Sydney and Hornsby,Sydney - North Sydney and Hornsby,False
Denistone East,NSW,-33.796,151.0974,Sydney - Ryde,25.0,Sydney - Ryde,Sydney - Ryde,False
Putney,NSW,-33.8261,151.1063,,25.0,Sydney - Ryde,Sydney - Ryde,True
East Ryde,NSW,-33.8103,151.1315,,25.0,Sydney - Ryde,Sydney - Ryde,True
Macquarie Park,NSW,-33.7796,151.1222,,25.0,Sydney - Ryde,Sydney - Ryde,True
Shell Cove,NSW,-34.5899,150.862,,6.0,Illawarra,Illawarra,True
Oak Flats,NSW,-34.5623,150.8219,,6.0,Illawarra,Illawarra,True
Shellharbour City Centre,NSW,-34.5636,150.8383,Illawarra,6.0,Illawarra,Illawarra,False
Shellharbour,NSW,-34.5833,150.8667,,6.0,Illawarra,Illawarra,True
Carrington Falls,NSW,-34.6504,150.6487,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Upper Kangaroo River,NSW,-34.694,150.5986,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Knights Hill,NSW,-34.6177,150.698,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Barrengarry,NSW,-34.6833,150.5167,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Upper Kangaroo Valley,NSW,-34.694,150.5986,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Moss Vale,NSW,-34.5537,150.3712,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Burrawang,NSW,-34.5853,150.5115,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Berrima,NSW,-34.4877,150.339,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Canyonleigh,NSW,-34.5206,150.1402,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Manchester Square,NSW,-34.5994,150.4017,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Meryla,NSW,-34.6704,150.3613,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Beaumont,NSW,-34.7833,150.5667,South Australia - South East,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Werai,NSW,-34.6067,150.3556,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Kangaroo Valley,NSW,-34.7381,150.5366,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Robertson,NSW,-34.5874,150.5912,Barossa - Yorke - Mid North,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Sutton Forest,NSW,-34.5833,150.3167,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Belanglo,NSW,-34.5138,150.2264,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
New Berrima,NSW,-34.5041,150.3354,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Budgong,NSW,-34.8024,150.4735,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Barren Grounds,NSW,-34.6583,150.3257,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Mount Murray,NSW,-34.5538,150.6353,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Macquarie Pass,NSW,-34.6583,150.3257,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Fitzroy Falls,NSW,-34.65,150.4833,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Red Rocks,NSW,-34.6583,150.3257,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Wildes Meadow,NSW,-34.623,150.5262,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Gerringong,NSW,-34.747,150.8281,,6.0,Illawarra,Illawarra,True
Gerroa,NSW,-34.7691,150.8101,,6.0,Illawarra,Illawarra,True
Toolijooa,NSW,-34.7649,150.7831,,6.0,Illawarra,Illawarra,True
Broughton Village,NSW,-34.7431,150.7519,,6.0,Illawarra,Illawarra,True
Werri Beach,NSW,-34.7368,150.8309,,6.0,Illawarra,Illawarra,True
Foxground,NSW,-34.7152,150.7679,,6.0,Illawarra,Illawarra,True
Durras North,NSW,-35.637,150.3036,,0.0,Capital Region,Capital Region,True
Jeremadra,NSW,-35.8135,150.1403,Capital Region,0.0,Capital Region,Capital Region,False
North Batemans Bay,NSW,-35.6864,150.1908,,0.0,Capital Region,Capital Region,True
Benandarah,NSW,-35.6333,150.25,,0.0,Capital Region,Capital Region,True
Batemans Bay,NSW,-35.7066,150.1754,,0.0,Capital Region,Capital Region,True
South Durras,NSW,-35.6513,150.2952,,0.0,Capital Region,Capital Region,True
Runnyford,NSW,-35.7147,150.1034,Capital Region,0.0,Capital Region,Capital Region,False
Denhams Beach,NSW,-35.7509,150.2114,,0.0,Capital Region,Capital Region,True
Batehaven,NSW,-35.7376,150.1984,,0.0,Capital Region,Capital Region,True
Maloneys Beach,NSW,-35.7073,150.251,,0.0,Capital Region,Capital Region,True
Surfside,NSW,-35.6953,150.1995,,0.0,Capital Region,Capital Region,True
Long Beach,NSW,-35.7083,150.2448,,0.0,Capital Region,Capital Region,True
Guerilla Bay,NSW,-35.8303,150.2209,,0.0,Capital Region,Capital Region,True
Currowan,NSW,-35.5713,150.1128,,0.0,Capital Region,Capital Region,True
Buckenbowra,NSW,-35.7333,150.0667,Capital Region,0.0,Capital Region,Capital Region,False
East Lynne,NSW,-35.59,150.2927,,0.0,Capital Region,Capital Region,True
Murrengenburg,NSW,-35.6688,150.1632,,0.0,Capital Region,Capital Region,True
Catalina,NSW,-35.73,150.1849,Capital Region,0.0,Capital Region,Capital Region,False
Bimbimbie,NSW,-35.8478,150.1322,Capital Region,0.0,Capital Region,Capital Region,False
Depot Beach,NSW,-35.6289,150.3245,,0.0,Capital Region,Capital Region,True
Nelligen,NSW,-35.6467,150.1362,Capital Region,0.0,Capital Region,Capital Region,False
Sunshine Bay,NSW,-35.7454,150.2079,,0.0,Capital Region,Capital Region,True
Malua Bay,NSW,-35.7938,150.2283,,0.0,Capital Region,Capital Region,True
Pebbly Beach,NSW,-35.6688,150.1632,,0.0,Capital Region,Capital Region,True
Little Forest,NSW,-35.2908,150.3558,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Morton,NSW,-35.4,150.3667,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Porters Creek,NSW,-35.1239,150.0747,Southern Highlands and Shoalhaven,0.0,Capital Region,Capital Region,True
Brooman,NSW,-35.5,150.25,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Mogood,NSW,-35.4918,150.1905,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Mollymook,NSW,-35.3297,150.4717,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Lake Conjola,NSW,-35.2696,150.4819,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Kioloa,NSW,-35.5542,150.3789,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Narrawallee,NSW,-35.3124,150.4635,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Yatte Yattah,NSW,-35.2588,150.4258,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Kings Point,NSW,-35.3702,150.4341,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Croobyar,NSW,-35.3203,150.3914,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Cunjurong Point,NSW,-35.2624,150.5088,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Conjola Park,NSW,-35.2631,150.4398,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Berringer Lake,NSW,-35.2521,150.5024,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Pointer Mountain,NSW,-35.2514,150.4876,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Manyana,NSW,-35.2574,150.5191,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Mount Kingiman,NSW,-35.2514,150.4876,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Lake Tabourie,NSW,-35.4392,150.3983,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Burrill Lake,NSW,-35.3872,150.4495,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Bendalong,NSW,-35.2189,150.486,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Mollymook Beach,NSW,-35.3297,150.4717,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Yadboro,NSW,-35.2514,150.4876,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Termeil,NSW,-35.4667,150.35,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Dolphin Point,NSW,-35.4018,150.4436,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Bawley Point,NSW,-35.5156,150.3942,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Cockwhy,NSW,-35.2514,150.4876,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Fishermans Paradise,NSW,-35.2296,150.4449,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Conjola,NSW,-35.2167,150.45,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Ulladulla,NSW,-35.3591,150.4725,,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,True
Nowra,NSW,-34.8842,150.6004,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
West Nowra,NSW,-34.8859,150.5833,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
South Nowra,NSW,-34.9033,150.5983,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Bomaderry,NSW,-34.8497,150.6109,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
North Nowra,NSW,-34.8582,150.5748,Southern Highlands and Shoalhaven,13.0,Southern Highlands and Shoalhaven,Southern Highlands and Shoalhaven,False
Singleton Military Area,NSW,-32.3605,150.9926,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Sandy Hollow,NSW,-32.3333,150.5667,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Muswellbrook,NSW,-32.2612,150.8901,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Baerami Creek,NSW,-32.5,150.4667,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Baerami,NSW,-32.3818,150.4679,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Bengalla,NSW,-32.2971,150.7311,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Muscle Creek,NSW,-32.2854,151.0096,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Liddell,NSW,-32.4278,151.0032,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Kayuga,NSW,-32.2,150.8667,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Wybong,NSW,-32.2667,150.6333,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Edderton,NSW,-32.2971,150.7311,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Gungal,NSW,-32.2652,150.4846,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Manobalai,NSW,-32.1896,150.676,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Mccullys Gap,NSW,-32.2053,150.9736,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Castle Rock,NSW,-32.2486,150.7342,Hunter Valley exc Newcastle,5.0,Hunter Valley exc Newcastle,Hunter Valley exc Newcastle,False
Coxs Creek,NSW,-32.7342,150.1133,Central West,2.0,Central West,Central West,False
Growee,NSW,-32.6262,150.0573,Central West,2.0,Central West,Central West,False
Mount Marsden,NSW,-32.9568,150.0632,Central West,2.0,Central West,Central West,False
Coxs Crown,NSW,-32.7488,150.0492,Central West,2.0,Central West,Central West,False
Glen Alice,NSW,-33.05,150.2167,Central West,2.0,Central West,Central West,False
Dabee,NSW,-32.8401,150.023,Central West,2.0,Central West,Central West,False
Rylstone,NSW,-32.7995,149.9694,Central West,2.0,Central West,Central West,False
Coggan,NSW,-32.3565,150.0977,,2.0,Central West,Central West,True
Ginghi,NSW,-32.5818,150.0846,Central West,2.0,Central West,Central West,False
Pinnacle Swamp,NSW,-32.7695,149.9138,Central West,2.0,Central West,Central West,False
Upper Growee,NSW,-32.6475,150.0233,Central West,2.0,Central West,Central West,False
Lee Creek,NSW,-32.7114,150.0719,Central West,2.0,Central West,Central West,False
Dunville Loop,NSW,-32.7114,150.0719,Central West,2.0,Central West,Central West,False
Reedy Creek,NSW,-32.7114,150.0719,,2.0,Central West,Central West,True
Breakfast Creek,NSW,-32.6818,150.0012,Central West,2.0,Central West,Central West,False
Wirraba,NSW,-32.7114,150.0719,,2.0,Central West,Central West,True
Carwell,NSW,-32.7114,150.0719,Central West,2.0,Central West,Central West,False
Dungeree,NSW,-32.7114,150.0719,Central West,2.0,Central West,Central West,False
Bylong,NSW,-32.4119,150.1201,,2.0,Central West,Central West,True
Upper Bylong,NSW,-32.4494,150.1252,,2.0,Central West,Central West,True
Pyangle,NSW,-32.6419,149.9092,Central West,2.0,Central West,Central West,False
Camboon,NSW,-32.6985,149.9512,Sunshine Coast,2.0,Central West,Central West,True
Budden,NSW,-32.5152,150.0679,Central West,2.0,Central West,Central West,False
Upper Nile,NSW,-32.7114,150.0719,Central West,2.0,Central West,Central West,False
Olinda,NSW,-32.8333,150.1333,Melbourne - North West,2.0,Central West,Central West,True
Bogee,NSW,-32.9944,150.1008,Central West,2.0,Central West,Central West,False
Murrumbo,NSW,-32.7114,150.0719,,2.0,Central West,Central West,True
Nullo Mountain,NSW,-32.7424,150.2304,,2.0,Central West,Central West,True
North Narooma,NSW,-36.2036,150.1153,,0.0,Capital Region,Capital Region,True
Cuttagee,NSW,-36.4785,150.0417,,0.0,Capital Region,Capital Region,True
Corunna,NSW,-36.2818,150.1012,,0.0,Capital Region,Capital Region,True
Tinpot,NSW,-36.2167,149.8667,Capital Region,0.0,Capital Region,Capital Region,False
Beauty Point,NSW,-36.3331,150.0391,,0.0,Capital Region,Capital Region,True
Wallaga Lake,NSW,-36.3684,150.0718,,0.0,Capital Region,Capital Region,True
Dalmeny,NSW,-36.1661,150.1291,,0.0,Capital Region,Capital Region,True
Bermagui,NSW,-36.419,150.0636,,0.0,Capital Region,Capital Region,True
Kianga,NSW,-36.1945,150.1268,,0.0,Capital Region,Capital Region,True
Tilba Tilba,NSW,-36.3247,150.0599,Capital Region,0.0,Capital Region,Capital Region,False
Mystery Bay,NSW,-36.3051,150.1282,,0.0,Capital Region,Capital Region,True
Barragga Bay,NSW,-36.5003,150.0547,,0.0,Capital Region,Capital Region,True
Akolele,NSW,-36.3555,150.0772,,0.0,Capital Region,Capital Region,True
Dignams Creek,NSW,-36.3485,149.9846,Capital Region,0.0,Capital Region,Capital Region,False
Murrah,NSW,-36.5,150.0167,,0.0,Capital Region,Capital Region,True
Wadbilliga,NSW,-36.2555,149.6512,Capital Region,0.0,Capital Region,Capital Region,False
Central Tilba,NSW,-36.3131,150.0731,,0.0,Capital Region,Capital Region,True
Narooma,NSW,-36.2178,150.1325,,0.0,Capital Region,Capital Region,True
Reedy Swamp,NSW,-36.6969,149.8929,Capital Region,0.0,Capital Region,Capital Region,False
Quaama,NSW,-36.4667,149.8667,Capital Region,0.0,Capital Region,Capital Region,False
Angledale,NSW,-36.6318,149.8846,Capital Region,0.0,Capital Region,Capital Region,False
Burragate,NSW,-37.0,149.6167,Capital Region,0.0,Capital Region,Capital Region,False
Kameruka,NSW,-36.7318,149.7012,Capital Region,0.0,Capital Region,Capital Region,False
Cobargo,NSW,-36.3879,149.8863,Capital Region,0.0,Capital Region,Capital Region,False
Tantawangalo,NSW,-36.7947,149.5903,Capital Region,0.0,Capital Region,Capital Region,False
Toothdale,NSW,-36.7818,149.7512,Capital Region,0.0,Capital Region,Capital Region,False
New Buildings,NSW,-36.9616,149.5659,Capital Region,0.0,Capital Region,Capital Region,False
Frogs Hollow,NSW,-36.7647,149.8202,Capital Region,0.0,Capital Region,Capital Region,False
Yambulla,NSW,-37.2167,149.55,,0.0,Capital Region,Capital Region,True
Yankees Creek,NSW,-36.5545,149.8112,Capital Region,0.0,Capital Region,Capital Region,False
Kanoona,NSW,-36.7548,149.7692,Capital Region,0.0,Capital Region,Capital Region,False
Pericoe,NSW,-37.1167,149.6167,Capital Region,0.0,Capital Region,Capital Region,False
Brogo,NSW,-36.5333,149.8333,Capital Region,0.0,Capital Region,Capital Region,False
Coopers Gully,NSW,-36.6516,149.7993,Capital Region,0.0,Capital Region,Capital Region,False
Numbugga,NSW,-36.6333,149.75,Capital Region,0.0,Capital Region,Capital Region,False
Doctor George Mountain,NSW,-36.6607,149.883,Capital Region,0.0,Capital Region,Capital Region,False
Wallagoot,NSW,-36.7539,149.9406,,0.0,Capital Region,Capital Region,True
South Wolumla,NSW,-36.8152,149.7512,Capital Region,0.0,Capital Region,Capital Region,False
Kalaru,NSW,-36.7312,149.9294,Capital Region,0.0,Capital Region,Capital Region,False
Myrtle Mountain,NSW,-36.8398,149.6872,Capital Region,0.0,Capital Region,Capital Region,False
Morans Crossing,NSW,-36.6667,149.65,Capital Region,0.0,Capital Region,Capital Region,False
Yowrie,NSW,-36.3,149.7167,Capital Region,0.0,Capital Region,Capital Region,False
Towamba,NSW,-37.0833,149.6833,Capital Region,0.0,Capital Region,Capital Region,False
Jellat Jellat,NSW,-36.7167,149.8833,Capital Region,0.0,Capital Region,Capital Region,False
Wapengo,NSW,-36.5985,149.9846,,0.0,Capital Region,Capital Region,True
Mogareeka,NSW,-36.6964,149.9767,,0.0,Capital Region,Capital Region,True
Tanja,NSW,-36.6,149.9833,,0.0,Capital Region,Capital Region,True
Tarraganda,NSW,-36.6609,149.8662,Capital Region,0.0,Capital Region,Capital Region,False
Coolangubra,NSW,-36.5545,149.8112,Capital Region,0.0,Capital Region,Capital Region,False
Wolumla,NSW,-36.8308,149.8131,Capital Region,0.0,Capital Region,Capital Region,False
Rocky Hall,NSW,-36.9318,149.5096,Capital Region,0.0,Capital Region,Capital Region,False
Buckajo,NSW,-36.682,149.718,Capital Region,0.0,Capital Region,Capital Region,False
Verona,NSW,-36.4667,149.8167,Capital Region,0.0,Capital Region,Capital Region,False
Tathra,NSW,-36.7313,149.9833,,0.0,Capital Region,Capital Region,True
Devils Hole,NSW,-36.88,149.6528,Capital Region,0.0,Capital Region,Capital Region,False
Coolagolite,NSW,-36.4052,149.9792,Capital Region,0.0,Capital Region,Capital Region,False
Bega,NSW,-36.6739,149.8418,Capital Region,0.0,Capital Region,Capital Region,False
Mogilla,NSW,-36.6985,149.5846,Capital Region,0.0,Capital Region,Capital Region,False
Candelo,NSW,-36.7677,149.6947,Capital Region,0.0,Capital Region,Capital Region,False
Bunga,NSW,-36.5545,149.8112,Ballarat,0.0,Capital Region,Capital Region,True
Mumbulla Mountain,NSW,-36.5545,149.8112,Capital Region,0.0,Capital Region,Capital Region,False
Bemboka,NSW,-36.6289,149.5718,Capital Region,0.0,Capital Region,Capital Region,False
Chinnock,NSW,-36.5545,149.8112,Capital Region,0.0,Capital Region,Capital Region,False
Wonboyn North,NSW,-37.1888,149.7529,Capital Region,0.0,Capital Region,Capital Region,False
Nungatta South,NSW,-37.2152,149.4012,Capital Region,0.0,Capital Region,Capital Region,False
Edrom,NSW,-37.1888,149.7529,,0.0,Capital Region,Capital Region,True
Narrabarba,NSW,-37.2568,149.8179,Capital Region,0.0,Capital Region,Capital Region,False
Nadgee,NSW,-37.1888,149.7529,,0.0,Capital Region,Capital Region,True
Green Cape,NSW,-37.1888,149.7529,,0.0,Capital Region,Capital Region,True
Wonboyn,NSW,-37.2505,149.9382,,0.0,Capital Region,Capital Region,True
Boydtown,NSW,-37.0833,149.9167,,,,,False
Nullica,NSW,-37.0964,149.8329,Capital Region,0.0,Capital Region,Capital Region,False
Kiah,NSW,-37.15,149.8667,Capital Region,0.0,Capital Region,Capital Region,False
Eden,NSW,-37.0667,149.9003,,0.0,Capital Region,Capital Region,True
Timbillica,NSW,-37.3652,149.7012,,0.0,Capital Region,Capital Region,True
Googong,NSW,-35.4387,149.2131,Capital Region,0.0,Capital Region,Capital Region,False
Carwoola,NSW,-35.3784,149.3215,,0.0,Capital Region,Capital Region,True
Tralee,NSW,-36.1074,148.8788,,0.0,Capital Region,Capital Region,True
Tinderry,NSW,-35.7524,149.2795,Capital Region,0.0,Capital Region,Capital Region,False
The Ridgeway,NSW,-35.3389,149.2609,,0.0,Capital Region,Capital Region,True
Urila,NSW,-35.564,149.2999,Capital Region,0.0,Capital Region,Capital Region,False
Queanbeyan West,NSW,-35.355,149.2041,,0.0,Capital Region,Capital Region,True
Queanbeyan East,NSW,-35.3462,149.246,,0.0,Capital Region,Capital Region,True
The Angle,NSW,-35.6031,149.1108,,0.0,Capital Region,Capital Region,True
Ridgeway,NSW,-35.3389,149.2609,Hobart,0.0,Capital Region,Capital Region,True
Clear Range,NSW,-35.6408,149.1262,,0.0,Capital Region,Capital Region,True
Environa,NSW,-35.4404,149.2114,,0.0,Capital Region,Capital Region,True
