suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Petit Carenage Bay,Christchurch City,-43.78740642838796,172.92108323903122,1709.0,7363.0,Petit Carenage Bay,Akaroa Harbour,Coastal Bay,,,Christchurch City,,Petit Carenage Bay,Akaroa Harbour,,Christchurch City,Christchurch City,False
Rimariki Island,Whangarei District,-35.424702163620054,174.4415365154633,1710.0,4890.0,Rimariki Island,,Island,,,Whangarei District,,Rimariki Island,,,Whangarei District,Whangarei District,False
Archway Island,Whangarei District,-35.490196664278386,174.74065424284254,1711.0,4147.0,Archway Island,Poor Knights Islands,Island,,,Whangarei District,,Archway Island,Poor Knights Islands,,Whangarei District,Whangarei District,False
Cooey Bay,Area outside Territorial Authority,-47.10582991216708,168.12833985149518,1712.0,7986.0,Cooey Bay,,Coastal Bay,,,Area outside Territorial Authority,,Cooey Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Aorangaia Island,Whangarei District,-35.48623038664585,174.746573447063,1713.0,4142.0,Aorangaia Island,Poor Knights Islands,Island,,,Whangarei District,,Aorangaia Island,Poor Knights Islands,,Whangarei District,Whangarei District,False
Wigmore Bay,Auckland,-36.90526278491171,174.44697258781898,1714.0,7880.0,Wigmore Bay,,Coastal Bay,,,Auckland,,Wigmore Bay,,,Auckland,Auckland,False
Te Hāwere-a-Maki / Goat Island,Auckland,-36.265354967241066,174.79778981944006,1715.0,4321.0,Te Hāwere-a-Maki / Goat Island,Goat Island Leigh,Island,,,Auckland,,Te Hawere-a-Maki / Goat Island,Goat Island Leigh,,Auckland,Auckland,False
Whitehead Bay,Area outside Territorial Authority,-43.62838332094213,172.9403773215064,1716.0,7872.0,Whitehead Bay,,Coastal Bay,,,Area outside Territorial Authority,,Whitehead Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Tikitiki Rock,Area outside Territorial Authority,-35.152186303081024,174.14561341126722,1717.0,5045.0,Tikitiki Rock,,Island,,,Area outside Territorial Authority,,Tikitiki Rock,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Opito Bay,Far North District,-35.194417200549765,174.0416122366384,1718.0,7268.0,Opito Bay,Bay Of Islands,Coastal Bay,,,Far North District,,Opito Bay,Bay Of Islands,,Far North District,Far North District,False
Kirita Bay,Area outside Territorial Authority,-36.86907807762433,175.41798254549536,1719.0,7019.0,Kirita Bay,"Firth Of Thames, Hauraki Gulf",Coastal Bay,,,Area outside Territorial Authority,,Kirita Bay,"Firth Of Thames, Hauraki Gulf",,Area outside Territorial Authority,Area outside Territorial Authority,False
Bokel Bay,Auckland,-36.97867925881235,174.6284383222277,1720.0,6644.0,Bokel Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Bokel Bay,Manukau Harbour,,Auckland,Auckland,False
Oranga Bay,Auckland,-36.85894532222707,175.17374247230498,1721.0,8219.0,Oranga Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Oranga Bay,Hauraki Gulf,,Auckland,Auckland,False
Flounder Bay,Auckland,-36.92767518688602,174.706659815064,1722.0,8940.0,Flounder Bay,"Blockhouse Bay, Manukau Harbour",Coastal Bay,,,Auckland,,Flounder Bay,"Blockhouse Bay, Manukau Harbour",,Auckland,Auckland,False
Wells Bay,Marlborough District,-40.79741794547559,173.9043357801864,1723.0,8614.0,Wells Bay,"Wells Arm, East Arm, Port Hardy",Coastal Bay,,,Marlborough District,,Wells Bay,"Wells Arm, East Arm, Port Hardy",,Marlborough District,Marlborough District,False
Robinsons Bay,Christchurch City,-43.767292252967984,172.95326114407882,1724.0,7448.0,Robinsons Bay,Akaroa Harbour,Coastal Bay,,,Christchurch City,,Robinsons Bay,Akaroa Harbour,,Christchurch City,Christchurch City,False
Big Glory Bay,Area outside Territorial Authority,-46.97887554145856,168.11512445715553,1725.0,7929.0,Big Glory Bay,,Coastal Bay,,,Area outside Territorial Authority,,Big Glory Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Marks Bay,Area outside Territorial Authority,-46.629737414757976,169.31918089817955,1726.0,7111.0,Marks Bay,,Coastal Bay,,,Area outside Territorial Authority,,Marks Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Motuterahiki Island,Far North District,-35.18512692064537,174.0949860044851,1727.0,4662.0,Motuterahiki Island,Bay Of Islands,Island,,,Far North District,,Motuterahiki Island,Bay Of Islands,,Far North District,Far North District,False
Hakana Bay,Marlborough District,-41.29366601486954,174.18223083673882,1728.0,6869.0,Hakana Bay,"Port Underwood, Cook Strait",Coastal Bay,,,Marlborough District,,Hakana Bay,"Port Underwood, Cook Strait",,Marlborough District,Marlborough District,False
Whanganui Island,Thames-Coromandel District,-36.78295679366863,175.44590924718875,1729.0,5123.0,Whanganui Island,Hauraki Gulf,Island,,,Thames-Coromandel District,,Whanganui Island,Hauraki Gulf,,Thames-Coromandel District,Thames-Coromandel District,False
Wonga Wonga Bay,Auckland,-37.04479599531366,174.5124183804673,1730.0,7885.0,Wonga Wonga Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Wonga Wonga Bay,Manukau Harbour,,Auckland,Auckland,False
Pīreka / Low Neck Bay,Marlborough District,-40.79634210425998,173.94739859945489,1731.0,8261.0,Pīreka / Low Neck Bay,"Low Neck Bay, Pireka",Coastal Bay,,,Marlborough District,,Pireka / Low Neck Bay,"Low Neck Bay, Pireka",,Marlborough District,Marlborough District,False
Mangahawea Bay,Far North District,-35.2209851333766,174.18293639602052,1732.0,8140.0,Mangahawea Bay,Bay Of Islands,Coastal Bay,,,Far North District,,Mangahawea Bay,Bay Of Islands,,Far North District,Far North District,False
Abbey Rocks,Area outside Territorial Authority,-43.668927187280936,169.33233788791816,1733.0,4132.0,Abbey Rocks,,Island,,,Area outside Territorial Authority,,Abbey Rocks,,,Area outside Territorial Authority,Area outside Territorial Authority,False
South West Arm,Southland District,-44.98201554098124,167.39331748625807,1734.0,7525.0,South West Arm,Te Houhou / George Sound,Coastal Bay,,,Southland District,,South West Arm,Te Houhou / George Sound,,Southland District,Southland District,False
Te Pukatea Bay,Tasman District,-40.95312958751766,173.06575990699014,1735.0,7642.0,Te Pukatea Bay,Tasman Bay,Coastal Bay,,,Tasman District,,Te Pukatea Bay,Tasman Bay,,Tasman District,Tasman District,False
Te Matahī Lagoon,Rotorua District,-38.06222278569538,176.6053802441037,1736.0,3973.0,Te Matahī Lagoon,Lake Rotomā,Inland Bay,,,Rotorua District,,Te Matahi Lagoon,Lake Rotoma,,Rotorua District,Rotorua District,False
Kate Bay,Marlborough District,-40.98894801906293,174.0687701878517,1737.0,8096.0,Kate Bay,,Coastal Bay,,,Marlborough District,,Kate Bay,,,Marlborough District,Marlborough District,False
Stilwell Bay,Tasman District,-40.97487887564868,173.04430553168993,1738.0,7536.0,Stilwell Bay,Tasman Bay,Coastal Bay,,,Tasman District,,Stilwell Bay,Tasman Bay,,Tasman District,Tasman District,False
Burnt Island,Southland District,-47.16294909681351,167.70939816089034,1739.0,4230.0,Burnt Island,North Arm,Island,,,Southland District,,Burnt Island,North Arm,,Southland District,Southland District,False
Otehei Bay,Far North District,-35.22320630459806,174.23025424047836,1740.0,8229.0,Otehei Bay,"Te Rawhiti Inlet, Bay Of Islands",Coastal Bay,,,Far North District,,Otehei Bay,"Te Rawhiti Inlet, Bay Of Islands",,Far North District,Far North District,False
Garden Islands,Southland District,-46.03231661108411,166.59313592382122,1741.0,4315.0,Garden Islands,,Island,,,Southland District,,Garden Islands,,,Southland District,Southland District,False
Cable Bay,Auckland,-36.80886272820567,175.19505321875164,1742.0,7957.0,Cable Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Cable Bay,Hauraki Gulf,,Auckland,Auckland,False
Motuanauru Island,Marlborough District,-41.04125585656949,173.64035281057127,1743.0,4526.0,Motuanauru Island,Croisilles Harbour,Island,Marlborough Sounds,Major Locality,Marlborough District,,Motuanauru Island,Croisilles Harbour,Marlborough Sounds,Marlborough District,Marlborough District,False
Shag Harbour,Auckland,-36.31031453751775,175.43784902441297,1744.0,8301.0,Shag Harbour,Hauraki Gulf,Coastal Bay,,,Auckland,,Shag Harbour,Hauraki Gulf,,Auckland,Auckland,False
Otū Bay,Marlborough District,-40.76000791906965,173.8383710800942,1745.0,8231.0,Otū Bay,,Coastal Bay,,,Marlborough District,,Otu Bay,,,Marlborough District,Marlborough District,False
Oke Bay,Far North District,-35.22826027595314,174.26777558450567,1746.0,7230.0,Oke Bay,Bay Of Islands,Coastal Bay,,,Far North District,,Oke Bay,Bay Of Islands,,Far North District,Far North District,False
Wharekahika / Hicks Bay,Area outside Territorial Authority,-37.580251637902506,178.30931195089144,1747.0,6911.0,Wharekahika / Hicks Bay,,Coastal Bay,,,Area outside Territorial Authority,,Wharekahika / Hicks Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Whale Bay,Area outside Territorial Authority,-35.557639007578885,174.4988832312774,1748.0,7836.0,Whale Bay,Sandy Bay,Coastal Bay,,,Area outside Territorial Authority,,Whale Bay,Sandy Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Te Puna Bay,Wairoa District,-38.74634406138939,177.04067493476214,1749.0,7643.0,Te Puna Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",Inland Bay,,,Wairoa District,,Te Puna Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",,Wairoa District,Wairoa District,False
Cascade Bay,Area outside Territorial Authority,-44.10701314799008,168.27665656323543,1750.0,6694.0,Cascade Bay,,Coastal Bay,,,Area outside Territorial Authority,,Cascade Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Horseshoe Bay,Area outside Territorial Authority,-36.749242304092334,175.77793906547657,1751.0,6937.0,Horseshoe Bay,,Coastal Bay,,,Area outside Territorial Authority,,Horseshoe Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Orokawa Bay,Far North District,-35.254323850429486,174.19894054114695,1752.0,7280.0,Orokawa Bay,"Te Rawhiti Inlet, Bay Of Islands",Coastal Bay,,,Far North District,,Orokawa Bay,"Te Rawhiti Inlet, Bay Of Islands",,Far North District,Far North District,False
Refuge Island,Southland District,-46.94937813639293,168.1278875071478,1753.0,4885.0,Refuge Island,Paterson Inlet/Whaka a Te Wera,Island,,,Southland District,,Refuge Island,Paterson Inlet/Whaka a Te Wera,,Southland District,Southland District,False
Pinnacle Rock,Southland District,-46.04151982493522,166.54903293766642,1754.0,4814.0,Pinnacle Rock,Eastern Passage,Island,,,Southland District,,Pinnacle Rock,Eastern Passage,,Southland District,Southland District,False
Tapuaeharuru Bay,Taupo District,-38.71062740497504,176.05354374212547,1755.0,7582.0,Tapuaeharuru Bay,Lake Taupo (Taupomoana),Inland Bay,,,Taupo District,,Tapuaeharuru Bay,Lake Taupo (Taupomoana),,Taupo District,Taupo District,False
Motuarohia Island,Far North District,-35.23282434511947,174.16593980542493,1756.0,4530.0,Motuarohia Island,"Roberton Island, Bay Of Islands",Island,,,Far North District,,Motuarohia Island,"Roberton Island, Bay Of Islands",,Far North District,Far North District,False
Seal Bay,Area outside Territorial Authority,-40.82603148686469,172.15154019993787,1757.0,7485.0,Seal Bay,,Coastal Bay,,,Area outside Territorial Authority,,Seal Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Te Kiakia Bay,Area outside Territorial Authority,-36.236027581144384,174.195614450299,1758.0,8518.0,Te Kiakia Bay,Kaipara Harbour,Coastal Bay,,,Area outside Territorial Authority,,Te Kiakia Bay,Kaipara Harbour,,Area outside Territorial Authority,Area outside Territorial Authority,False
Turnbulls Bay,Dunedin City,-45.8450951824273,170.63026326905586,1759.0,7716.0,Turnbulls Bay,Otago Harbour,Coastal Bay,,,Dunedin City,,Turnbulls Bay,Otago Harbour,,Dunedin City,Dunedin City,False
Kukutauwhao Island,Whangarei District,-35.61148982009767,174.5449030495828,1760.0,4442.0,Kukutauwhao Island,,Island,,,Whangarei District,,Kukutauwhao Island,,,Whangarei District,Whangarei District,False
Whakarewa Lagoon,Rotorua District,-38.03482085927104,176.59789199580828,1761.0,3848.0,Whakarewa Lagoon,Lake Rotomā,Inland Bay,,,Rotorua District,,Whakarewa Lagoon,Lake Rotoma,,Rotorua District,Rotorua District,False
Turitea Island,Area outside Territorial Authority,-37.633838910296525,176.4297192381905,1762.0,5079.0,Turitea Island,Bay Of Plenty,Island,,,Area outside Territorial Authority,,Turitea Island,Bay Of Plenty,,Area outside Territorial Authority,Area outside Territorial Authority,False
Takawini Island,Southland District,-47.107252695111626,168.20591127756182,1763.0,4966.0,Takawini Island,"Breaksea Islands, Tītī / Muttonbird Islands, Takawini",Island,,,Southland District,,Takawini Island,"Breaksea Islands, Titi / Muttonbird Islands, Takawini",,Southland District,Southland District,False
Tapatu Bay,Area outside Territorial Authority,-34.15884995909706,172.12773973317033,1764.0,8787.0,Tapatu Bay,Little Bear Bay,Coastal Bay,,,Area outside Territorial Authority,,Tapatu Bay,Little Bear Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Ngawhiti Island,Tasman District,-40.804340255940296,172.91126029785528,1765.0,4726.0,Ngawhiti Island,"Tata Islands, Golden Bay",Island,,,Tasman District,,Ngawhiti Island,"Tata Islands, Golden Bay",,Tasman District,Tasman District,False
Sylvan Cove,Area outside Territorial Authority,-47.23598587645216,167.56274957277597,1766.0,8333.0,Sylvan Cove,"South Arm, Port Pegasus / Pikihatiti",Coastal Bay,,,Area outside Territorial Authority,,Sylvan Cove,"South Arm, Port Pegasus / Pikihatiti",,Area outside Territorial Authority,Area outside Territorial Authority,False
Tūtaepāwhati Bay,Area outside Territorial Authority,-47.109507559128446,168.06375674777917,1767.0,8379.0,Tūtaepāwhati Bay,,Coastal Bay,,,Area outside Territorial Authority,,Tutaepawhati Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Karewa Island,Area outside Territorial Authority,-37.53000981723773,176.13148501943564,1768.0,4423.0,Karewa Island,Bay Of Plenty,Island,,,Area outside Territorial Authority,,Karewa Island,Bay Of Plenty,,Area outside Territorial Authority,Area outside Territorial Authority,False
Horseshoe Island,Auckland,-36.31845426973256,174.7677032049406,274.0,8616.0,Whangateau Harbour,Hauraki Gulf,Coastal Bay,,,Auckland,,Whangateau Harbour,Hauraki Gulf,,Auckland,Auckland,False
Tauranga Bay,Area outside Territorial Authority,-35.003458151295774,173.77899544103855,1770.0,7591.0,Tauranga Bay,Whangaroa Bay,Coastal Bay,,,Area outside Territorial Authority,,Tauranga Bay,Whangaroa Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Pataea Bay,Area outside Territorial Authority,-34.14990418827065,172.1218555125867,1771.0,8786.0,Pataea Bay,Crater Bay,Coastal Bay,,,Area outside Territorial Authority,,Pataea Bay,Crater Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Outu Bay,Area outside Territorial Authority,-35.21992844407914,174.3087546031867,1772.0,7307.0,Outu Bay,,Coastal Bay,,,Area outside Territorial Authority,,Outu Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Tapuaekura Bay,Rotorua District,-38.0401138169881,176.4133558695005,1773.0,8729.0,Tapuaekura Bay,"Lake Rotoiti / Te Roto kite a Ihenga i ariki ai Kahu, Lake Rotoiti",Inland Bay,,,Rotorua District,,Tapuaekura Bay,"Lake Rotoiti / Te Roto kite a Ihenga i ariki ai Kahu, Lake Rotoiti",,Rotorua District,Rotorua District,False
Mou Tapu,Queenstown-Lakes District,-44.60810618483518,169.06012098326275,1774.0,4681.0,Mou Tapu,Lake Wānaka,Island,,,Queenstown-Lakes District,,Mou Tapu,Lake Wanaka,,Queenstown-Lakes District,Queenstown-Lakes District,False
Stony Bay,Area outside Territorial Authority,-43.85723108779393,173.04549123220156,1775.0,7540.0,Stony Bay,,Coastal Bay,,,Area outside Territorial Authority,,Stony Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Parawai Bay,Rotorua District,-38.0814308647815,176.22164756375065,1776.0,8712.0,Parawai Bay,"Lake Rotorua / Te Rotorua nui a Kahumatamomoe, Lake Rotorua",Inland Bay,,,Rotorua District,,Parawai Bay,"Lake Rotorua / Te Rotorua nui a Kahumatamomoe, Lake Rotorua",,Rotorua District,Rotorua District,False
Tokaroa,Area outside Territorial Authority,-39.94907799002755,176.93983351645272,1777.0,5056.0,Tokaroa,Hinemahanga Rocks,Island,,,Area outside Territorial Authority,,Tokaroa,Hinemahanga Rocks,,Area outside Territorial Authority,Area outside Territorial Authority,False
Little Waikawa Bay,Marlborough District,-41.07075793678291,174.26707402756887,1778.0,7062.0,Little Waikawa Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Little Waikawa Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Crowles Bay,Far North District,-35.17957535406077,174.02231272518733,1779.0,6740.0,Crowles Bay,"Te Puna Inlet, Bay Of Islands",Coastal Bay,,,Far North District,,Crowles Bay,"Te Puna Inlet, Bay Of Islands",,Far North District,Far North District,False
