suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Beggs Pool,Taupo District,-39.13002354316035,175.8231812971276,0.0,2978.0,Beggs Pool,,Lake,,,Taupo District,,Beggs Pool,,,Taupo District,Taupo District,False
Meybille Bay,Area outside Territorial Authority,-42.07187347598554,171.35707433069166,1.0,7140.0,Meybille Bay,,Coastal Bay,,,Area outside Territorial Authority,,Meybille Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Whakamoa Bay,Area outside Territorial Authority,-43.89757027501114,172.88080158416682,2.0,7828.0,Whakamoa Bay,,Coastal Bay,,,Area outside Territorial Authority,,Whakamoa Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Sunkist Bay,Auckland,-36.879762221022375,174.99022292734765,3.0,7545.0,Sunkist Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Sunkist Bay,Hauraki Gulf,,Auckland,Auckland,False
Lorenzen Bay,Waikato District,-37.79834357289427,174.88681464121598,4.0,7072.0,Lorenzen Bay,Whaingaroa Harbour,Coastal Bay,,,Waikato District,,Lorenzen Bay,Whaingaroa Harbour,,Waikato District,Waikato District,False
Prospectors Bay,Southland District,-45.09783266202679,167.57386769517868,5.0,7402.0,Prospectors Bay,"North West Arm, Middle Fiord, Lake Te Anau",Inland Bay,,,Southland District,,Prospectors Bay,"North West Arm, Middle Fiord, Lake Te Anau",,Southland District,Southland District,False
Motumorirau Island / Pauls Island,Area outside Territorial Authority,-36.74007483446238,175.4162548599894,6.0,4588.0,Motumorirau Island / Pauls Island,"Motumorirau Island, Pauls Island, Hauraki Gulf",Island,,,Area outside Territorial Authority,,Motumorirau Island / Pauls Island,"Motumorirau Island, Pauls Island, Hauraki Gulf",,Area outside Territorial Authority,Area outside Territorial Authority,False
Deadmans Bay,Auckland,-36.839946377676185,175.0916340248088,7.0,8442.0,Deadmans Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Deadmans Bay,Hauraki Gulf,,Auckland,Auckland,False
Ngāhauā Bay,Rotorua District,-38.10867691880118,176.42836242678325,8.0,8742.0,Ngāhauā Bay,"Lake Okataina / Te Moana i kataina a Te Rangitakaroro, Lake Ōkataina/Te Moana i kataina ā Te Rangitakaroro",Inland Bay,,,Rotorua District,,Ngahaua Bay,"Lake Okataina / Te Moana i kataina a Te Rangitakaroro, Lake Okataina/Te Moana i kataina a Te Rangitakaroro",,Rotorua District,Rotorua District,False
Motu Kapiti Island,Whangarei District,-35.46991512679846,174.73302549242555,9.0,4520.0,Motu Kapiti Island,Poor Knights Islands,Island,,,Whangarei District,,Motu Kapiti Island,Poor Knights Islands,,Whangarei District,Whangarei District,False
Stop Island,Southland District,-45.7658545357207,166.54231713250866,10.0,4954.0,Stop Island,Tamatea / Dusky Sound,Island,,,Southland District,,Stop Island,Tamatea / Dusky Sound,,Southland District,Southland District,False
Frankton Arm,Queenstown-Lakes District,-45.030931529938,168.69881352366315,11.0,6829.0,Frankton Arm,Lake Wakatipu,Inland Bay,,,Queenstown-Lakes District,,Frankton Arm,Lake Wakatipu,,Queenstown-Lakes District,Queenstown-Lakes District,False
Pateko Island,Rotorua District,-38.02789040912848,176.40981613053052,12.0,4795.0,Pateko Island,Lake Rotoiti,Island,,,Rotorua District,,Pateko Island,Lake Rotoiti,,Rotorua District,Rotorua District,False
Ouokaha Island,Marlborough District,-41.11031719933776,173.97743062624403,13.0,4772.0,Ouokaha Island,Crail Bay,Island,Marlborough Sounds,Major Locality,Marlborough District,,Ouokaha Island,Crail Bay,Marlborough Sounds,Marlborough District,Marlborough District,False
Te Korokoroowhaitiri Bay,Wairoa District,-38.79547809720393,176.98696213832932,14.0,7624.0,Te Korokoroowhaitiri Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",Inland Bay,,,Wairoa District,,Te Korokoroowhaitiri Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",,Wairoa District,Wairoa District,False
O Wiwi Ku,Ōtorohanga District,-38.09122120318049,174.86691913484682,15.0,4737.0,O Wiwi Ku,Kawhia Harbour,Island,,,Ōtorohanga District,,O Wiwi Ku,Kawhia Harbour,,Otorohanga District,Ōtorohanga District,False
Rat Island,Southland District,-47.133504584838,167.5679112699549,16.0,4880.0,Rat Island,Tītī / Muttonbird Islands,Island,,,Southland District,,Rat Island,Titi / Muttonbird Islands,,Southland District,Southland District,False
Glasgow Bay,Marlborough District,-41.30845144190048,174.22091896718973,17.0,417.0,Glasgow Bay,,Locality,Picton,Town,Marlborough District,,Glasgow Bay,,Picton,Marlborough District,Marlborough District,False
Tāmihau Island,Southland District,-46.93359359741714,168.10716150745165,18.0,4968.0,Tāmihau Island,Paterson Inlet/Whaka a Te Wera,Island,,,Southland District,,Tamihau Island,Paterson Inlet/Whaka a Te Wera,,Southland District,Southland District,False
Wattle Bay,Auckland,-36.93756189244754,174.72524700591774,19.0,7816.0,Wattle Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Wattle Bay,Manukau Harbour,,Auckland,Auckland,False
Florance Bay,Area outside Territorial Authority,-34.8399073641702,173.44885797562094,20.0,6820.0,Florance Bay,Whangatupere Bay,Coastal Bay,,,Area outside Territorial Authority,,Florance Bay,Whangatupere Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Double Bay,Marlborough District,-41.18949495225939,173.94002095838573,21.0,6771.0,Double Bay,Kenepuru Sound,Coastal Bay,,,Marlborough District,,Double Bay,Kenepuru Sound,,Marlborough District,Marlborough District,False
Roaring Bay,Area outside Territorial Authority,-46.44844569383204,169.80172567393615,22.0,7444.0,Roaring Bay,,Coastal Bay,,,Area outside Territorial Authority,,Roaring Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Jordy Rocks,Marlborough District,-41.24951441700347,174.2933673629269,23.0,4400.0,Jordy Rocks,Cook Strait,Island,,,Marlborough District,,Jordy Rocks,Cook Strait,,Marlborough District,Marlborough District,False
Half Passage Rock,Southland District,-46.82149476707991,168.40443609681756,24.0,4342.0,Half Passage Rock,,Island,,,Southland District,,Half Passage Rock,,,Southland District,Southland District,False
Girlies Island,Southland District,-45.72432536024108,166.92959413874044,25.0,4318.0,Girlies Island,Tamatea / Dusky Sound,Island,,,Southland District,,Girlies Island,Tamatea / Dusky Sound,,Southland District,Southland District,False
Whangaroa Harbour,Far North District,-35.05181400459277,173.7349365544019,26.0,8630.0,Whangaroa Harbour,,Coastal Bay,,,Far North District,,Whangaroa Harbour,,,Far North District,Far North District,False
Shag Bay,Area outside Territorial Authority,-36.49931457794223,175.42359499143237,27.0,7488.0,Shag Bay,,Coastal Bay,,,Area outside Territorial Authority,,Shag Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Motuharakeke Island,Auckland,-35.9014337430567,175.11925780733114,28.0,4535.0,Motuharakeke Island,Mokohinau Islands,Island,,,Auckland,,Motuharakeke Island,Mokohinau Islands,,Auckland,Auckland,False
Kaikaitāhuna Bay,Rotorua District,-38.03623332333127,176.25630607685127,29.0,8710.0,Kaikaitāhuna Bay,"Lake Rotorua / Te Rotorua nui a Kahumatamomoe, Lake Rotorua",Inland Bay,,,Rotorua District,,Kaikaitahuna Bay,"Lake Rotorua / Te Rotorua nui a Kahumatamomoe, Lake Rotorua",,Rotorua District,Rotorua District,False
Whiorau Bay,Far North District,-35.247249697017274,174.2511686902658,30.0,7871.0,Whiorau Bay,"Te Rawhiti Inlet, Bay Of Islands",Coastal Bay,,,Far North District,,Whiorau Bay,"Te Rawhiti Inlet, Bay Of Islands",,Far North District,Far North District,False
Skull Bay,Marlborough District,-40.747518940243005,173.92226421784156,31.0,8307.0,Skull Bay,,Coastal Bay,,,Marlborough District,,Skull Bay,,,Marlborough District,Marlborough District,False
Victory Island / Moutītī,Marlborough District,-40.73601269367684,173.91397019550885,32.0,5090.0,Victory Island / Moutītī,"Moutiti, Victory Island",Island,Marlborough Sounds,Major Locality,Marlborough District,,Victory Island / Moutiti,"Moutiti, Victory Island",Marlborough Sounds,Marlborough District,Marlborough District,False
Crayfish Rock,Auckland,-36.21151312045292,175.04957825604475,33.0,4266.0,Crayfish Rock,Hauraki Gulf,Island,,,Auckland,,Crayfish Rock,Hauraki Gulf,,Auckland,Auckland,False
Mauitaha Island,Whangarei District,-35.89429004576788,174.69632486853192,34.0,5115.0,Mauitaha Island,"Hen And Chicken Islands, West Chicken Island",Island,,,Whangarei District,,Mauitaha Island,"Hen And Chicken Islands, West Chicken Island",,Whangarei District,Whangarei District,False
Waimate Island,Thames-Coromandel District,-36.76392996296763,175.41789042289074,35.0,5097.0,Waimate Island,Hauraki Gulf,Island,,,Thames-Coromandel District,,Waimate Island,Hauraki Gulf,,Thames-Coromandel District,Thames-Coromandel District,False
Kaitirehe Rock,Area outside Territorial Authority,-34.99620482351429,173.927661231228,36.0,4410.0,Kaitirehe Rock,Cavalli Islands,Island,,,Area outside Territorial Authority,,Kaitirehe Rock,Cavalli Islands,,Area outside Territorial Authority,Area outside Territorial Authority,False
Te Wairoa Bay,Rotorua District,-38.03235861167107,176.54435082574253,37.0,7663.0,Te Wairoa Bay,Lake Rotoehu,Inland Bay,,,Rotorua District,,Te Wairoa Bay,Lake Rotoehu,,Rotorua District,Rotorua District,False
Moturoa Island,Kaipara District,-36.28617900656443,174.27192331413636,38.0,4633.0,Moturoa Island,Kaipara Harbour,Island,,,Kaipara District,,Moturoa Island,Kaipara Harbour,,Kaipara District,Kaipara District,False
Atuatangi Bay,Marlborough District,-40.90735925839434,173.7919852770754,39.0,8574.0,Atuatangi Bay,"Manuhakapakapa, Otuatangi Bay",Coastal Bay,,,Marlborough District,,Atuatangi Bay,"Manuhakapakapa, Otuatangi Bay",,Marlborough District,Marlborough District,False
Tarakanahi Island,Whangarei District,-35.83688017360696,174.5811897106101,40.0,4974.0,Tarakanahi Island,Bream Islands,Island,,,Whangarei District,,Tarakanahi Island,Bream Islands,,Whangarei District,Whangarei District,False
Whalers Bay,Invercargill City,-46.48186112351221,168.30249893665612,41.0,7837.0,Whalers Bay,New River Estuary,Coastal Bay,,,Invercargill City,,Whalers Bay,New River Estuary,,Invercargill City,Invercargill City,False
Paripari te tai Bay,Rotorua District,-38.01729557427098,176.40886033090553,42.0,8725.0,Paripari te tai Bay,"Lake Rotoiti / Te Roto kite a Ihenga i ariki ai Kahu, Lake Rotoiti",Inland Bay,,,Rotorua District,,Paripari te tai Bay,"Lake Rotoiti / Te Roto kite a Ihenga i ariki ai Kahu, Lake Rotoiti",,Rotorua District,Rotorua District,False
Sponge Bay,Area outside Territorial Authority,-38.70588359731593,178.0589673577293,43.0,8511.0,Sponge Bay,Tūranganui-a-Kiwa / Poverty Bay,Coastal Bay,,,Area outside Territorial Authority,,Sponge Bay,Turanganui-a-Kiwa / Poverty Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Kau Bay,Area outside Territorial Authority,-41.285567709542086,174.83226576331003,44.0,7002.0,Kau Bay,"Wellington Harbour / Port Nicholson, Cook Strait",Coastal Bay,,,Area outside Territorial Authority,,Kau Bay,"Wellington Harbour / Port Nicholson, Cook Strait",,Area outside Territorial Authority,Area outside Territorial Authority,False
Martello Rock / Ruakōura,Auckland,-36.4314221171401,174.80712660370102,45.0,4487.0,Martello Rock / Ruakōura,"Martello Rock, Ruakoura, Kawau Bay",Island,,,Auckland,,Martello Rock / Ruakoura,"Martello Rock, Ruakoura, Kawau Bay",,Auckland,Auckland,False
Dobson Bay,Grey District,-42.60539178498445,171.41896322113405,46.0,6767.0,Dobson Bay,Lake Brunner (Moana),Inland Bay,,,Grey District,,Dobson Bay,Lake Brunner (Moana),,Grey District,Grey District,False
Sandy Bay Island,Auckland,-36.72586726936824,174.95438289640816,47.0,4911.0,Sandy Bay Island,Sandy Bay,Island,,,Auckland,,Sandy Bay Island,Sandy Bay,,Auckland,Auckland,False
Maitai Bay,Area outside Territorial Authority,-34.82482480593076,173.41184726827018,48.0,7087.0,Maitai Bay,Matai Bay,Coastal Bay,,,Area outside Territorial Authority,,Maitai Bay,Matai Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Hincheys Outlet,Southland District,-45.816824811341,167.51980183054587,49.0,6916.0,Hincheys Outlet,Monowai Lake,Inland Bay,,,Southland District,,Hincheys Outlet,Monowai Lake,,Southland District,Southland District,False
Owhatanga Bay,Far North District,-35.021480451134394,173.7723821454243,50.0,8236.0,Owhatanga Bay,Whangaroa Harbour,Coastal Bay,,,Far North District,,Owhatanga Bay,Whangaroa Harbour,,Far North District,Far North District,False
Last Cove,Southland District,-45.98117527980484,166.78481785680682,51.0,7045.0,Last Cove,Long Sound,Coastal Bay,,,Southland District,,Last Cove,Long Sound,,Southland District,Southland District,False
Jerusalem Bay,Taupo District,-38.7209095073461,176.02543287793608,52.0,6964.0,Jerusalem Bay,"Tapuaeharuru Bay, Lake Taupo (Taupomoana)",Inland Bay,,,Taupo District,,Jerusalem Bay,"Tapuaeharuru Bay, Lake Taupo (Taupomoana)",,Taupo District,Taupo District,False
South Arm,Southland District,-45.53939494097744,167.41493701080591,53.0,7520.0,South Arm,Lake Manapouri,Inland Bay,,,Southland District,,South Arm,Lake Manapouri,,Southland District,Southland District,False
Wharekakahu,Dunedin City,-45.87982926588508,170.71510566393223,54.0,5126.0,Wharekakahu,,Island,,,Dunedin City,,Wharekakahu,,,Dunedin City,Dunedin City,False
Okahu Island,Far North District,-35.19833910928258,174.20942246899713,55.0,4744.0,Okahu Island,"Red Head Island, Bay Of Islands",Island,,,Far North District,,Okahu Island,"Red Head Island, Bay Of Islands",,Far North District,Far North District,False
Te Hāpua Bay,Taupo District,-38.81734089007382,175.81409219616833,56.0,7606.0,Te Hāpua Bay,Lake Taupo (Taupomoana),Inland Bay,,,Taupo District,,Te Hapua Bay,Lake Taupo (Taupomoana),,Taupo District,Taupo District,False
Lake Areare,Waikato District,-37.668466376745,175.20072373595858,57.0,3105.0,Lake Areare,,Lake,,,Waikato District,,Lake Areare,,,Waikato District,Waikato District,False
Cook's Cove,Area outside Territorial Authority,-38.378796810810194,178.33844260487203,58.0,7988.0,Cook's Cove,,Coastal Bay,,,Area outside Territorial Authority,,Cook's Cove,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Motuokino Island / Shag Rock,Thames-Coromandel District,-36.75066845993447,175.3913776468978,59.0,4602.0,Motuokino Island / Shag Rock,"Motuokino Island, Shag Rock, Hauraki Gulf",Island,,,Thames-Coromandel District,,Motuokino Island / Shag Rock,"Motuokino Island, Shag Rock, Hauraki Gulf",,Thames-Coromandel District,Thames-Coromandel District,False
Tokomāpuna Island / Aeroplane Island,Kapiti Coast District,-40.88013622345561,174.92705161024566,60.0,5063.0,Tokomāpuna Island / Aeroplane Island,"Aeroplane Island, Tokomapuna Island",Island,,,Kapiti Coast District,,Tokomapuna Island / Aeroplane Island,"Aeroplane Island, Tokomapuna Island",,Kapiti Coast District,Kapiti Coast District,False
Te Matau a Maui Bay,Marlborough District,-41.17595583415444,173.96807225623186,61.0,7630.0,Te Matau a Maui Bay,Kenepuru Sound,Coastal Bay,,,Marlborough District,,Te Matau a Maui Bay,Kenepuru Sound,,Marlborough District,Marlborough District,False
Kaikiekie / Bradshaw Sound,Southland District,-45.28210059945049,167.08444227074978,62.0,7946.0,Kaikiekie / Bradshaw Sound,,Coastal Bay,,,Southland District,,Kaikiekie / Bradshaw Sound,,,Southland District,Southland District,False
Deep Bay,Marlborough District,-41.22524615576707,174.25458580994885,63.0,8001.0,Deep Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Deep Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Pig Island,Nelson City,-41.31106401197297,173.20146765298102,64.0,4805.0,Pig Island,Waimea Inlet,Island,,,Nelson City,,Pig Island,Waimea Inlet,,Nelson City,Nelson City,False
Te Teko Island,Waikato District,-37.76200761110232,174.929348336703,65.0,5018.0,Te Teko Island,Whaingaroa Harbour,Island,,,Waikato District,,Te Teko Island,Whaingaroa Harbour,,Waikato District,Waikato District,False
Ōhau Bay,Area outside Territorial Authority,-41.23888106944959,174.65083374744245,66.0,7214.0,Ōhau Bay,Cook Strait,Coastal Bay,,,Area outside Territorial Authority,,Ohau Bay,Cook Strait,,Area outside Territorial Authority,Area outside Territorial Authority,False
Pekapeka Bay,Far North District,-35.00897385514237,173.74522622646126,67.0,8252.0,Pekapeka Bay,,Coastal Bay,,,Far North District,,Pekapeka Bay,,,Far North District,Far North District,False
Ōpōtiki Bay,Marlborough District,-40.88525543586831,173.78551540242287,68.0,8573.0,Ōpōtiki Bay,Manuhakapakapa,Coastal Bay,,,Marlborough District,,Opotiki Bay,Manuhakapakapa,,Marlborough District,Marlborough District,False
Kotanui Island / Frenchmans Cap,Auckland,-36.63102276565108,174.78067954258958,69.0,4439.0,Kotanui Island / Frenchmans Cap,"Frenchmans Cap, Kotanui Island, Hauraki Gulf",Island,,,Auckland,,Kotanui Island / Frenchmans Cap,"Frenchmans Cap, Kotanui Island, Hauraki Gulf",,Auckland,Auckland,False
Jamestown,Southland District,-44.3791722905172,168.13303365466834,70.0,4048.0,Jamestown,,Locality,Haast,Major Locality,Southland District,,Jamestown,,Haast,Southland District,Southland District,False
Kerr Bay,Tasman District,-41.81043470942144,172.84501117353545,71.0,7011.0,Kerr Bay,Lake Rotoiti,Inland Bay,,,Tasman District,,Kerr Bay,Lake Rotoiti,,Tasman District,Tasman District,False
Ngahau Bay,Area outside Territorial Authority,-35.44045168841747,174.39816033331604,72.0,7184.0,Ngahau Bay,Mimiwhangata Bay,Coastal Bay,,,Area outside Territorial Authority,,Ngahau Bay,Mimiwhangata Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Omaha Bay,Auckland,-36.32636028926719,174.83294855699256,73.0,8204.0,Omaha Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Omaha Bay,Hauraki Gulf,,Auckland,Auckland,False
Mercury Bay,Area outside Territorial Authority,-36.81288357135383,175.73304486752667,74.0,8158.0,Mercury Bay,,Coastal Bay,,,Area outside Territorial Authority,,Mercury Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Deep Gully Bay,Christchurch City,-43.61744455468462,172.76767301060212,75.0,6760.0,Deep Gully Bay,Lyttelton Harbour/Whakaraupō,Coastal Bay,,,Christchurch City,,Deep Gully Bay,Lyttelton Harbour/Whakaraupo,,Christchurch City,Christchurch City,False
Waiiti Bay,Area outside Territorial Authority,-35.007517263623406,173.93389396000035,76.0,8537.0,Waiiti Bay,Cavalli Passage,Coastal Bay,,,Area outside Territorial Authority,,Waiiti Bay,Cavalli Passage,,Area outside Territorial Authority,Area outside Territorial Authority,False
Roger Bay,Area outside Territorial Authority,-46.936431735634535,168.14831172611858,77.0,8286.0,Roger Bay,Paterson Inlet/Whaka a Te Wera,Coastal Bay,,,Area outside Territorial Authority,,Roger Bay,Paterson Inlet/Whaka a Te Wera,,Area outside Territorial Authority,Area outside Territorial Authority,False
Atihau Island,Auckland,-35.913136287287045,175.098821508278,78.0,4158.0,Atihau Island,"Flax Islands, Mokohinau Islands",Island,,,Auckland,,Atihau Island,"Flax Islands, Mokohinau Islands",,Auckland,Auckland,False
Manukau Harbour,Auckland,-37.04292557478554,174.71303470174118,79.0,8633.0,Manukau Harbour,,Coastal Bay,,,Auckland,,Manukau Harbour,,,Auckland,Auckland,False
Landing Bay,Southland District,-46.002826951258704,166.4797771939575,80.0,7044.0,Landing Bay,Western Passage,Coastal Bay,,,Southland District,,Landing Bay,Western Passage,,Southland District,Southland District,False
Seal Rock,Southland District,-45.75715464292044,166.57089989452376,81.0,4921.0,Seal Rock,Tamatea / Dusky Sound,Island,,,Southland District,,Seal Rock,Tamatea / Dusky Sound,,Southland District,Southland District,False
Pig Bay,Marlborough District,-41.01048781346678,174.2017869299506,82.0,7368.0,Pig Bay,Port Gore,Coastal Bay,,,Marlborough District,,Pig Bay,Port Gore,,Marlborough District,Marlborough District,False
Cherry Bay,Marlborough District,-41.171736347193765,174.18670135567783,83.0,7975.0,Cherry Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Cherry Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Hokoromea Island,Auckland,-35.91129609968431,175.1039232139788,84.0,4371.0,Hokoromea Island,"Flax Islands, Mokohinau Islands",Island,,,Auckland,,Hokoromea Island,"Flax Islands, Mokohinau Islands",,Auckland,Auckland,False
Tia Island / Entrance,Southland District,-47.07342953377967,168.2206833258879,85.0,5043.0,Tia Island / Entrance,"Entrance, Tia Island",Island,,,Southland District,,Tia Island / Entrance,"Entrance, Tia Island",,Southland District,Southland District,False
Māhungarape Island / Round Island,Thames-Coromandel District,-36.791680561630514,175.7520635936201,86.0,4477.0,Māhungarape Island / Round Island,"Mahungarape Island, Round Island",Island,,,Thames-Coromandel District,,Mahungarape Island / Round Island,"Mahungarape Island, Round Island",,Thames-Coromandel District,Thames-Coromandel District,False
Hāwea Island,Southland District,-45.59103572610367,166.643815943983,87.0,4358.0,Hāwea Island,,Island,,,Southland District,,Hawea Island,,,Southland District,Southland District,False
Mosquito Bay,Tasman District,-40.91291686065071,173.06219719310982,88.0,7168.0,Mosquito Bay,Tasman Bay,Coastal Bay,,,Tasman District,,Mosquito Bay,Tasman Bay,,Tasman District,Tasman District,False
Lake Cove,Southland District,-45.86478720381074,166.70500242380277,89.0,7041.0,Lake Cove,Edwardson Sound,Coastal Bay,,,Southland District,,Lake Cove,Edwardson Sound,,Southland District,Southland District,False
Waingaehe/Holdens Bay,Rotorua District,-38.11488513551778,176.29527805190403,90.0,6921.0,Waingaehe/Holdens Bay,"Lake Rotorua / Te Rotorua nui a Kahumatamomoe, Waingaehe, Lake Rotorua",Inland Bay,,,Rotorua District,,Waingaehe/Holdens Bay,"Lake Rotorua / Te Rotorua nui a Kahumatamomoe, Waingaehe, Lake Rotorua",,Rotorua District,Rotorua District,False
Orua Bay,Area outside Territorial Authority,-36.86556397819497,175.8264701773358,91.0,7285.0,Orua Bay,,Coastal Bay,,,Area outside Territorial Authority,,Orua Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Kisbee Bay,Southland District,-46.10972462086603,166.70377065469185,92.0,8105.0,Kisbee Bay,Rakituma / Preservation Inlet,Coastal Bay,,,Southland District,,Kisbee Bay,Rakituma / Preservation Inlet,,Southland District,Southland District,False
South Bay,Area outside Territorial Authority,-42.43051511698471,173.68551911190542,93.0,7521.0,South Bay,,Coastal Bay,,,Area outside Territorial Authority,,South Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Challenger Island / Little Kawau Island,Auckland,-36.45276305155635,174.87295923438845,94.0,4244.0,Challenger Island / Little Kawau Island,"Challenger Island, Little Kawau Island, Hauraki Gulf",Island,,,Auckland,,Challenger Island / Little Kawau Island,"Challenger Island, Little Kawau Island, Hauraki Gulf",,Auckland,Auckland,False
Raupo Bay,Area outside Territorial Authority,-43.6595736200276,173.04248301910715,95.0,7427.0,Raupo Bay,,Coastal Bay,,,Area outside Territorial Authority,,Raupo Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Motumareti Island,Far North District,-35.311574980674976,174.16891182063466,96.0,4586.0,Motumareti Island,Waikare Inlet,Island,,,Far North District,,Motumareti Island,Waikare Inlet,,Far North District,Far North District,False
Tapuaenui Bay,Wairoa District,-38.73271507092674,177.0524331578407,97.0,7583.0,Tapuaenui Bay,"Whanganui Inlet, Lake Waikaremoana",Inland Bay,,,Wairoa District,,Tapuaenui Bay,"Whanganui Inlet, Lake Waikaremoana",,Wairoa District,Wairoa District,False
Aute Bay,Area outside Territorial Authority,-36.13518989215774,174.2315479458931,98.0,6606.0,Aute Bay,Kaipara Harbour,Coastal Bay,,,Area outside Territorial Authority,,Aute Bay,Kaipara Harbour,,Area outside Territorial Authority,Area outside Territorial Authority,False
Kapiti Island,Kapiti Coast District,-40.85551545335791,174.9109628127221,99.0,6521.0,Kapiti Island,,Island,,,Kapiti Coast District,,Kapiti Island,,,Kapiti Coast District,Kapiti Coast District,False
Mellons Bay,Auckland,-36.88166469166608,174.93096948060972,100.0,7136.0,Mellons Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Mellons Bay,Hauraki Gulf,,Auckland,Auckland,False
Two House Bay,Auckland,-36.427277999206666,174.82047524933577,101.0,8617.0,Two House Bay,"Kawau Bay, Hauraki Gulf",Coastal Bay,,,Auckland,,Two House Bay,"Kawau Bay, Hauraki Gulf",,Auckland,Auckland,False
Sandy Bay,Wairoa District,-38.79919248427869,177.11578290162993,102.0,7474.0,Sandy Bay,Lake Waikaremoana,Inland Bay,,,Wairoa District,,Sandy Bay,Lake Waikaremoana,,Wairoa District,Wairoa District,False
Woodmans Bay,Marlborough District,-40.89976526936151,173.85010287382232,103.0,8426.0,Woodmans Bay,,Coastal Bay,,,Marlborough District,,Woodmans Bay,,,Marlborough District,Marlborough District,False
Bignell Reef,Area outside Territorial Authority,-43.85611824664221,168.89699099557822,104.0,4181.0,Bignell Reef,,Island,,,Area outside Territorial Authority,,Bignell Reef,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Parorenui Bay,Far North District,-35.24663428738473,174.22788395766443,105.0,7348.0,Parorenui Bay,"Te Rawhiti Inlet, Bay Of Islands",Coastal Bay,,,Far North District,,Parorenui Bay,"Te Rawhiti Inlet, Bay Of Islands",,Far North District,Far North District,False
Moikarurangi Bay,Marlborough District,-41.26287039440007,174.04838917055105,106.0,7158.0,Moikarurangi Bay,"Waikawa Bay, Queen Charlotte Sound (Totaranui)",Coastal Bay,,,Marlborough District,,Moikarurangi Bay,"Waikawa Bay, Queen Charlotte Sound (Totaranui)",,Marlborough District,Marlborough District,False
Opua Forest,Far North District,-35.31561136244283,174.0644758190448,107.0,6551.0,Opua Forest,,Conservation Land,Northland Conservation Park,Major Locality,Far North District,,Opua Forest,,Northland Conservation Park,Far North District,Far North District,False
Bravo Island,Southland District,-46.96211956163777,168.13578099894644,108.0,4216.0,Bravo Island,,Island,,,Southland District,,Bravo Island,,,Southland District,Southland District,False
Linklater Bay,Area outside Territorial Authority,-46.90741001221836,168.05650708448812,109.0,8122.0,Linklater Bay,"Prices Inlet, Paterson Inlet/Whaka a Te Wera",Coastal Bay,,,Area outside Territorial Authority,,Linklater Bay,"Prices Inlet, Paterson Inlet/Whaka a Te Wera",,Area outside Territorial Authority,Area outside Territorial Authority,False
Taura Rock,Whangarei District,-35.88910817246917,174.78127292229777,110.0,4983.0,Taura Rock,"Marotere Islands, Hen And Chicken Islands",Island,,,Whangarei District,,Taura Rock,"Marotere Islands, Hen And Chicken Islands",,Whangarei District,Whangarei District,False
White Island,Southland District,-46.74684534600404,168.4737322204868,111.0,5138.0,White Island,,Island,,,Southland District,,White Island,,,Southland District,Southland District,False
Oruapopou Island,Area outside Territorial Authority,-36.642447557721646,175.441213357106,112.0,4762.0,Oruapopou Island,Tukituki Bay,Island,,,Area outside Territorial Authority,,Oruapopou Island,Tukituki Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Mangakara Bay,Ōtorohanga District,-38.09646388829023,174.86876424382203,113.0,7091.0,Mangakara Bay,Kawhia Harbour,Coastal Bay,,,Ōtorohanga District,,Mangakara Bay,Kawhia Harbour,,Otorohanga District,Ōtorohanga District,False
Mourā Bay,Rotorua District,-38.22034151546458,176.430943266088,114.0,8746.0,Mourā Bay,Lake Tarawera,Inland Bay,,,Rotorua District,,Moura Bay,Lake Tarawera,,Rotorua District,Rotorua District,False
