suburb,state,latitude,longitude,assigned_region
Little Bay,NSW,-33.979,151.243,
Hillsdale,NSW,-33.9515,151.2278,
Eastgardens,NSW,-33.9451,151.2258,
Wolli Creek,NSW,-33.9313,151.1522,
Arncliffe,NSW,-33.9363,151.1482,
Bexley South,NSW,-33.9393,151.1232,
Kingsway West,NSW,-33.9393,151.0993,
Kingsgrove Dc,NSW,-33.9393,151.0993,
Rockdale Dc,NSW,-33.9535,151.1481,
Kyeemagh,NSW,-33.9513,151.162,
Brighton-Le-Sands,NSW,-33.9601,151.1511,
Brighton Le Sands,NSW,-33.9601,151.1511,
Carlton,NSW,-33.9711,151.1214,
Merimbula,NSW,-36.889,149.9096,
Bournda,NSW,-36.8295,149.9033,
Mirador,NSW,-36.8777,149.9157,
Tura Beach,NSW,-36.8636,149.9303,
Lochiel,NSW,-36.9485,149.8179,
Bald Hills,NSW,-36.9117,149.8428,
Pambula Beach,NSW,-36.9417,149.9034,
Broadwater,NSW,-36.9432,149.8557,
Myalla,NSW,-36.4167,149.1167,
Rose Valley,NSW,-34.7235,150.8096,
Cooma North,NSW,-36.1196,149.1551,
Long Plain,NSW,-36.0083,148.7028,
Springfield,NSW,-33.3433,149.2635,
Coonerang,NSW,-36.1196,149.1551,
Shannons Flat,NSW,-36.1196,149.1551,
Cooma,NSW,-36.2352,149.1241,
Maffra,NSW,-36.5318,148.9679,
Jimcumbilly,NSW,-36.6037,149.3151,
Greenlands,NSW,-36.6037,149.3151,
Bocci,NSW,-36.6037,149.3151,
Mount Cooper,NSW,-36.665,149.218,
Nungatta,NSW,-37.2152,149.4012,
Cathcart,NSW,-36.8333,149.3667,
Craigie,NSW,-37.0833,149.05,
Bondi Forest,NSW,-36.8941,149.2132,
Paddys Flat,NSW,-36.8941,149.2132,
Viewmont,NSW,-30.612,153.0008,
Nambucca Heads,NSW,-30.6432,153.0088,
Valla Beach,NSW,-30.5926,153.0113,
Valla,NSW,-30.5999,152.9829,
Missabotti,NSW,-30.5747,152.8158,
Girralong,NSW,-30.5696,152.6554,
Kennaicle Creek,NSW,-30.6244,152.7854,
South Arm,NSW,-30.6888,152.7396,
Killiekrankie,NSW,-30.6244,152.7854,
Urunga,NSW,-30.497,153.0142,
Tarkeeth,NSW,-30.497,153.0142,
Bull Plain,NSW,-35.8186,146.3196,
Hopefield,NSW,-35.8824,146.4377,
Ringwood,NSW,-35.8186,146.3196,
Coads Tank,NSW,-35.8186,146.3196,
Merton Vale,NSW,-35.8186,146.3196,
Corowa,NSW,-35.997,146.3855,
Nyora,NSW,-35.8186,146.3196,
Collendina,NSW,-36.0254,146.2189,
Buraja,NSW,-35.8592,146.3689,
Mulwala,NSW,-35.9854,146.0053,
Barooga,NSW,-35.906,145.6958,
Strawberry Hills,NSW,-33.9339,151.1531,
Seven Hills Mc,NSW,-33.7768,151.0215,
Strawberry Hills,NSW,-33.8988,151.2108,
Beaumont Hills,NSW,-33.6999,150.9411,
Kellyville Ridge,NSW,-33.7016,150.9179,
Kellyville,NSW,-33.7103,150.951,
Rouse Hill,NSW,-33.6821,150.9154,
Llandilo,NSW,-33.7129,150.7465,
Kingswood,NSW,-33.7561,150.7235,
Jordan Springs,NSW,-33.7214,150.7287,
Shane Park,NSW,-33.7434,150.7398,
Shanes Park,NSW,-33.7033,150.783,
Ropes Crossing,NSW,-33.7328,150.791,
Colyton,NSW,-33.7828,150.7968,
St Marys South,NSW,-33.7603,150.7918,
St Marys East,NSW,-33.7603,150.7918,
St Marys,NSW,-33.7603,150.7918,
Oxley Park,NSW,-33.7707,150.795,
North St Marys,NSW,-33.7549,150.7844,
Plumpton,NSW,-33.7518,150.8369,
Oakhurst,NSW,-33.7388,150.8384,
Glendenning Dc,NSW,-33.7393,150.8453,
Eastern Creek,NSW,-33.8063,150.8612,
Woodcroft,NSW,-33.7564,150.8807,
Glenwood,NSW,-33.7333,150.9328,
Stanhope Gardens,NSW,-33.7221,150.926,
Tregear,NSW,-33.7456,150.7929,
Mount Druitt Village,NSW,-33.746,150.8106,
Whalan,NSW,-33.757,150.804,
Bidwill,NSW,-33.7301,150.8222,
Minchinbury,NSW,-33.7872,150.8296,
Mount Druitt,NSW,-33.7667,150.8167,
Bland,NSW,-33.9833,147.6833,
Blaxland East,NSW,-33.7325,150.6118,
Blaxland,NSW,-33.75,150.6,
Yellow Rock,NSW,-33.6985,150.6346,
Sun Valley,NSW,-33.7088,150.5937,
Springwood,NSW,-33.7,150.55,
Woodford,NSW,-33.7333,150.4833,
Linden,NSW,-33.7167,150.5,
Yosemite,NSW,-33.7037,150.3065,
Katoomba Dc,NSW,-33.7037,150.3065,
Lawson,NSW,-33.7206,150.4297,
Mount Werong,NSW,-33.754,150.0055,
Mayfield,NSW,-32.8979,151.7361,
Beloon,NSW,-33.754,150.0055,
Bimlow,NSW,-33.754,150.0055,
Bindook,NSW,-33.754,150.0055,
Brereton,NSW,-33.754,150.0055,
Jooriland,NSW,-33.754,150.0055,
Black Springs,NSW,-33.8667,149.7167,
Mount Olive,NSW,-33.754,150.0055,
Kedumba,NSW,-33.754,150.0055,
Kowmung,NSW,-33.754,150.0055,
Yerranderie,NSW,-34.1167,150.2167,
Jaunter,NSW,-33.9802,149.8876,
Kanangra,NSW,-33.754,150.0055,
Edith,NSW,-33.8,149.9167,
Gingkin,NSW,-33.8667,149.9333,
Jenolan Caves,NSW,-33.8167,150.0333,
Hampton,NSW,-33.65,150.05,
Oaky Park,NSW,-33.463,150.1851,
Ganbenang,NSW,-33.6546,150.128,
Jenolan,NSW,-33.8238,150.0051,
Hartley Vale,NSW,-33.5333,150.2333,
Hartley,NSW,-33.5465,150.1757,
Wollangambe,NSW,-33.4462,150.1227,
Kanimbla,NSW,-33.4462,150.1227,
Little Hartley,NSW,-33.5881,150.1972,
Lithgow Dc,NSW,-33.4462,150.1227,
Springvale,NSW,-31.8595,149.8401,
Northern Suburbs Mc,NSW,-33.8419,151.1935,
New England Mc,NSW,-31.0904,150.7649,
Sandy Creek,NSW,-32.1818,146.2218,
Kulwin,NSW,-32.1818,146.2218,
Irymple,NSW,-32.4911,145.6049,
Bulla,NSW,-34.1196,148.2567,
Lansdale,NSW,-32.2304,147.1756,
Miamley,NSW,-32.2748,147.3438,
Albert,NSW,-32.35,147.5,
Tottenham,NSW,-32.244,147.3559,
