suburb,state,latitude,longitude,index_right,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,final_region,was_different
Ghazipur,Uttar Pradesh,25.622636201155924,83.55621150000691,198.0,Ghazipur,Uttar Pradesh,9.0,64.0,195.0,Ghazipur,False
Giridih,Jharkhand,24.296898266377458,86.11021677253258,199.0,Giridih,Jharkhand,20.0,4.0,349.0,Giridih,False
Goalpara,Assam,26.05552507494892,90.6054542370552,200.0,Goalpara,Assam,18.0,3.0,302.0,Goalpara,False
Godda,Jharkhand,24.85994234400284,87.31216131078797,201.0,Godda,Jharkhand,20.0,6.0,351.0,Godda,False
Golaghat,Assam,26.45813796348384,93.83328362857884,202.0,Golaghat,Assam,18.0,14.0,313.0,Golaghat,False
Gonda,Uttar Pradesh,27.084388434890176,82.02553410343072,203.0,Gonda,Uttar Pradesh,9.0,52.0,183.0,Gonda,False
Gondiya,Maharashtra,21.14961360249085,80.20535569167437,204.0,Gondiya,Maharashtra,27.0,11.0,507.0,Gondiya,False
Gopalganj,Bihar,26.442866055026936,84.377193646571,205.0,Gopalganj,Bihar,10.0,15.0,217.0,Gopalganj,False
Gorakhpur,Uttar Pradesh,26.65834356548141,83.3613742508205,206.0,Gorakhpur,Uttar Pradesh,9.0,57.0,188.0,Gorakhpur,False
Gulbarga,Karnataka,17.260627459885935,76.869523046487,207.0,Gulbarga,Karnataka,29.0,25.0,579.0,Gulbarga,False
Gumla,Jharkhand,23.102690323497463,84.53454019272388,208.0,Gumla,Jharkhand,20.0,21.0,366.0,Gumla,False
Guna,Madhya Pradesh,24.55567287548176,77.20081515293091,209.0,Guna,Madhya Pradesh,23.0,41.0,458.0,Guna,False
Guntur,Andhra Pradesh,16.299165499115485,80.0913534862821,210.0,Guntur,Andhra Pradesh,28.0,17.0,548.0,Guntur,False
Gurdaspur,Punjab,32.02493718927355,75.38675526417795,211.0,Gurdaspur,Punjab,3.0,1.0,35.0,Gurdaspur,False
Gurgaon,Haryana,28.368144564918847,76.9407656315644,212.0,Gurgaon,Haryana,6.0,18.0,86.0,Gurgaon,False
Gwalior,Madhya Pradesh,26.011724243247645,78.21950254565837,213.0,Gwalior,Madhya Pradesh,23.0,4.0,421.0,Gwalior,False
Hailakandi,Assam,24.49448880597316,92.58881099605132,214.0,Hailakandi,Assam,18.0,19.0,318.0,Hailakandi,False
Hamirpur,Himachal Pradesh,31.668222076078692,76.5257551537997,215.0,Hamirpur,Himachal Pradesh,2.0,6.0,28.0,Hamirpur,False
Hamirpur,Uttar Pradesh,25.73186817420498,79.87898954757091,216.0,Hamirpur,Uttar Pradesh,9.0,37.0,168.0,Hamirpur,False
Hanumangarh,Rajasthan,29.272567385254995,74.5485408370137,217.0,Hanumangarh,Rajasthan,8.0,2.0,100.0,Hanumangarh,False
Haora,West Bengal,22.526187960997625,88.06754195700587,218.0,Haora,West Bengal,19.0,15.0,341.0,Haora,False
Harda,Madhya Pradesh,22.234444219612307,77.12106281223443,219.0,Harda,Madhya Pradesh,23.0,31.0,448.0,Harda,False
Hardoi,Uttar Pradesh,27.329297308569263,80.16230913659167,220.0,Hardoi,Uttar Pradesh,9.0,24.0,155.0,Hardoi,False
Hardwar,Uttarakhand,29.87211579051889,78.00116173333038,221.0,Hardwar,Uttarakhand,5.0,13.0,68.0,Hardwar,False
Hassan,Karnataka,12.99564358370708,76.10910504376825,222.0,Hassan,Karnataka,29.0,20.0,574.0,Hassan,False
Mahamaya Nagar,Uttar Pradesh,27.577788878653053,78.16168192744408,223.0,Mahamaya Nagar,Uttar Pradesh,9.0,13.0,144.0,Mahamaya Nagar,False
Haveri,Karnataka,14.738353141746504,75.41764844693677,224.0,Haveri,Karnataka,29.0,10.0,564.0,Haveri,False
Hazaribagh,Jharkhand,23.99029718634408,85.41327929500903,225.0,Hazaribagh,Jharkhand,20.0,15.0,360.0,Hazaribagh,False
Hingoli,Maharashtra,19.61557692456841,77.11883948772433,226.0,Hingoli,Maharashtra,27.0,16.0,512.0,Hingoli,False
Hisar,Haryana,29.2153861102673,75.81562230936903,227.0,Hisar,Haryana,6.0,12.0,80.0,Hisar,False
Hoshangabad,Madhya Pradesh,22.58855946899229,77.98914606992176,228.0,Hoshangabad,Madhya Pradesh,23.0,32.0,449.0,Hoshangabad,False
Hoshiarpur,Punjab,31.6268900548406,75.85842016082704,229.0,Hoshiarpur,Punjab,3.0,4.0,38.0,Hoshiarpur,False
Hugli,West Bengal,22.884891512806988,88.0799001370785,230.0,Hugli,West Bengal,19.0,12.0,338.0,Hugli,False
Hyderabad,Andhra Pradesh,17.389847568937473,78.46994133754635,231.0,Hyderabad,Andhra Pradesh,28.0,5.0,536.0,Hyderabad,False
Idukki,Kerala,9.882501926026976,77.02741767278914,232.0,Idukki,Kerala,32.0,9.0,596.0,Idukki,False
Imphal East,Manipur,24.816685476904112,93.9421363342384,233.0,Imphal East,Manipur,14.0,7.0,278.0,Imphal East,False
Imphal West,Manipur,24.681674186135552,93.15440232773364,234.0,Imphal West,Manipur,14.0,6.0,277.0,Imphal West,False
Indore,Madhya Pradesh,22.713417592069053,75.782124162149,235.0,Indore,Madhya Pradesh,23.0,22.0,439.0,Indore,False
Jabalpur,Madhya Pradesh,23.23286846696339,79.97659170234706,236.0,Jabalpur,Madhya Pradesh,23.0,34.0,451.0,Jabalpur,False
Jagatsinghapur,Odisha,20.22190480410213,86.34364880675533,237.0,Jagatsinghapur,Odisha,21.0,11.0,380.0,Jagatsinghapur,False
Jaintia Hills,Meghalaya,25.3687011991604,92.38105086651876,238.0,Jaintia Hills,Meghalaya,17.0,7.0,299.0,Jaintia Hills,False
Jaipur,Rajasthan,26.98180747949866,75.7247382152575,239.0,Jaipur,Rajasthan,8.0,12.0,110.0,Jaipur,False
Jaisalmer,Rajasthan,27.08016941049488,70.90366983199807,240.0,Jaisalmer,Rajasthan,8.0,16.0,114.0,Jaisalmer,False
Jajapur,Odisha,20.85613046682465,86.15208576513442,241.0,Jajapur,Odisha,21.0,13.0,382.0,Jajapur,False
Jalandhar,Punjab,31.213041964069117,75.56662676045428,242.0,Jalandhar,Punjab,3.0,3.0,37.0,Jalandhar,False
Jalaun,Uttar Pradesh,26.09150292994366,79.3873866010215,243.0,Jalaun,Uttar Pradesh,9.0,34.0,165.0,Jalaun,False
Jalgaon,Maharashtra,20.936211635826385,75.49014783667577,244.0,Jalgaon,Maharashtra,27.0,3.0,499.0,Jalgaon,False
Jalna,Maharashtra,19.819116642724985,75.9817862087279,245.0,Jalna,Maharashtra,27.0,18.0,514.0,Jalna,False
Jalor,Rajasthan,25.0987345652294,72.21260209462868,246.0,Jalor,Rajasthan,8.0,18.0,116.0,Jalor,False
Jalpaiguri,West Bengal,26.66074988460327,89.08434148060309,247.0,Jalpaiguri,West Bengal,19.0,2.0,328.0,Jalpaiguri,False
Jammu,Jammu & Kashmir,32.76280060708844,74.78832563907386,248.0,Jammu,Jammu & Kashmir,1.0,21.0,21.0,Jammu,False
Jamnagar,Gujarat,22.25288754946767,69.91391984832588,249.0,Jamnagar,Gujarat,24.0,10.0,477.0,Jamnagar,False
Jamtara,Jharkhand,23.976982127013365,86.91718181512412,250.0,Jamtara,Jharkhand,20.0,18.0,363.0,Jamtara,False
Jamui,Bihar,24.784142510061955,86.29511893560704,251.0,Jamui,Bihar,10.0,36.0,238.0,Jamui,False
Janjgir-champa,Chhattisgarh,21.926413194145542,82.73785975222533,252.0,Janjgir-champa,Chhattisgarh,22.0,6.0,405.0,Janjgir-champa,False
Jashpur,Chhattisgarh,22.800991683649567,83.8663955163114,253.0,Jashpur,Chhattisgarh,22.0,3.0,402.0,Jashpur,False
Jaunpur,Uttar Pradesh,25.746367997509623,82.57588745024584,254.0,Jaunpur,Uttar Pradesh,9.0,63.0,194.0,Jaunpur,False
Jhabua,Madhya Pradesh,22.89089201242864,74.67186087884949,255.0,Jhabua,Madhya Pradesh,23.0,47.0,464.0,Jhabua,False
Jhajjar,Haryana,28.60492195078375,76.6494858374474,256.0,Jhajjar,Haryana,6.0,15.0,83.0,Jhajjar,False
Jhalawar,Rajasthan,24.329505737606368,76.19705750000965,257.0,Jhalawar,Rajasthan,8.0,31.0,129.0,Jhalawar,False
Jhansi,Uttar Pradesh,25.50591996885148,78.95406946266006,258.0,Jhansi,Uttar Pradesh,9.0,35.0,166.0,Jhansi,False
Jharsuguda,Odisha,21.80610113133833,83.95484066384587,259.0,Jharsuguda,Odisha,21.0,2.0,371.0,Jharsuguda,False
Jhunjhunun,Rajasthan,28.092435700457425,75.55243921083792,260.0,Jhunjhunun,Rajasthan,8.0,5.0,103.0,Jhunjhunun,False
Jodhpur,Rajasthan,26.75322082312185,72.7872069237349,261.0,Jodhpur,Rajasthan,8.0,15.0,113.0,Jodhpur,False
Jorhat,Assam,26.79433263369654,94.25658520536736,262.0,Jorhat,Assam,18.0,13.0,312.0,Jorhat,False
Junagadh,Gujarat,21.22205762865324,70.5537657584558,263.0,Junagadh,Gujarat,24.0,12.0,479.0,Junagadh,False
Jyotiba Phule Nagar,Uttar Pradesh,28.81391703570316,78.32936313430292,264.0,Jyotiba Phule Nagar,Uttar Pradesh,9.0,6.0,137.0,Jyotiba Phule Nagar,False
Kachchh,Gujarat,23.63026199869576,69.96032527592872,265.0,Kachchh,Gujarat,24.0,1.0,468.0,Kachchh,False
Kaimur (bhabua),Bihar,24.991684811852146,83.60669563113457,266.0,Kaimur (bhabua),Bihar,10.0,31.0,233.0,Kaimur (bhabua),False
Kaithal,Haryana,29.81436374967141,76.41819377484244,267.0,Kaithal,Haryana,6.0,5.0,73.0,Kaithal,False
Kalahandi,Odisha,19.868374919731988,83.10953909250507,268.0,Kalahandi,Odisha,21.0,26.0,395.0,Kalahandi,False
Kamrup,Assam,26.11846887845927,91.40640312796889,269.0,Kamrup,Assam,18.0,22.0,321.0,Kamrup,False
Kamrup Metropolitan,Assam,26.09009592193892,91.82166473390552,482.0,Ri Bhoi,Meghalaya,17.0,5.0,297.0,Ri Bhoi,False
Kancheepuram,Tamil Nadu,12.695441577469316,79.94788810187835,271.0,Kancheepuram,Tamil Nadu,33.0,3.0,604.0,Kancheepuram,False
Kandhamal,Odisha,20.12954552174811,84.0473657396127,272.0,Kandhamal,Odisha,21.0,21.0,390.0,Kandhamal,False
Kangra,Himachal Pradesh,32.10914743823388,76.31779017391075,273.0,Kangra,Himachal Pradesh,2.0,2.0,24.0,Kangra,False
Uttar Bastar Kanker,Chhattisgarh,20.14811449401272,81.12942201635627,274.0,Uttar Bastar Kanker,Chhattisgarh,22.0,14.0,413.0,Uttar Bastar Kanker,False
Kannauj,Uttar Pradesh,27.012110978247307,79.68790750038552,275.0,Kannauj,Uttar Pradesh,9.0,29.0,160.0,Kannauj,False
Kanniyakumari,Tamil Nadu,8.306991858415305,77.36141951913035,276.0,Kanniyakumari,Tamil Nadu,33.0,28.0,629.0,Kanniyakumari,False
Kannur,Kerala,12.0007365536255,75.52619692815145,277.0,Kannur,Kerala,32.0,2.0,589.0,Kannur,False
Kanpur Dehat,Uttar Pradesh,26.4451621493664,79.8571452722694,278.0,Kanpur Dehat,Uttar Pradesh,9.0,32.0,163.0,Kanpur Dehat,False
Kanpur Nagar,Uttar Pradesh,26.38131685347301,80.21566753411236,279.0,Kanpur Nagar,Uttar Pradesh,9.0,33.0,164.0,Kanpur Nagar,False
Kansiram Nagar,Uttar Pradesh,27.777366371476027,78.84527719588819,280.0,Kansiram Nagar,Uttar Pradesh,9.0,71.0,202.0,Kansiram Nagar,False
Kapurthala,Punjab,31.35431514292984,75.40311257127601,281.0,Kapurthala,Punjab,3.0,2.0,36.0,Kapurthala,False
Karbi Anglong,Assam,26.06635570750082,93.14917624324308,282.0,Karbi Anglong,Assam,18.0,15.0,314.0,Karbi Anglong,False
Kargil,Jammu & Kashmir,33.970558333413194,76.48230172437019,283.0,Kargil,Jammu & Kashmir,1.0,4.0,4.0,Kargil,False
Karimganj,Assam,24.58169429551487,92.37747600551424,284.0,Karimganj,Assam,18.0,18.0,317.0,Karimganj,False
Karimnagar,Andhra Pradesh,18.55014361887958,79.24084326413325,285.0,Karimnagar,Andhra Pradesh,28.0,3.0,534.0,Karimnagar,False
Karnal,Haryana,29.68777123352163,76.88484282450474,286.0,Karnal,Haryana,6.0,6.0,74.0,Karnal,False
Karur,Tamil Nadu,10.843045649079375,78.13307075759155,287.0,Karur,Tamil Nadu,33.0,12.0,613.0,Karur,False
Kasaragod,Kerala,12.46294534274635,75.15363942458535,288.0,Kasaragod,Kerala,32.0,1.0,588.0,Kasaragod,False
Kathua,Jammu & Kashmir,32.566533987212054,75.59394776179933,289.0,Kathua,Jammu & Kashmir,1.0,7.0,7.0,Kathua,False
Katihar,Bihar,25.54564966119044,87.64504076660505,290.0,Katihar,Bihar,10.0,10.0,212.0,Katihar,False
Katni,Madhya Pradesh,23.75452081699525,80.40154173596,291.0,Katni,Madhya Pradesh,23.0,33.0,450.0,Katni,False
Kaushambi,Uttar Pradesh,25.488920223410712,81.45353508090317,292.0,Kaushambi,Uttar Pradesh,9.0,43.0,174.0,Kaushambi,False
Kendrapara,Odisha,20.553274164267645,86.60976504989374,293.0,Kendrapara,Odisha,21.0,10.0,379.0,Kendrapara,False
Kendujhar,Odisha,21.537873578073587,85.70480854955886,294.0,Kendujhar,Odisha,21.0,6.0,375.0,Kendujhar,False
Khagaria,Bihar,25.51231270210454,86.60307882435517,295.0,Khagaria,Bihar,10.0,21.0,223.0,Khagaria,False
Khammam,Andhra Pradesh,17.598035711027418,80.68744205434682,296.0,Khammam,Andhra Pradesh,28.0,10.0,541.0,Khammam,False
Kheda,Gujarat,22.87658977899373,73.01695060659075,297.0,Kheda,Gujarat,24.0,16.0,483.0,Kheda,False
Kheri,Uttar Pradesh,28.123297766024205,80.6670420227486,298.0,Kheri,Uttar Pradesh,9.0,22.0,153.0,Kheri,False
Khordha,Odisha,20.090257201604494,85.51163263484555,299.0,Khordha,Odisha,21.0,17.0,386.0,Khordha,False
Khunti,Jharkhand,22.997904278781263,85.27458684808457,300.0,Khunti,Jharkhand,20.0,20.0,365.0,Khunti,False
Kinnaur,Himachal Pradesh,31.597567999405893,78.41250812599498,301.0,Kinnaur,Himachal Pradesh,2.0,12.0,34.0,Kinnaur,False
Kiphire,Nagaland,25.844971282316376,94.82509964793957,302.0,Kiphire,Nagaland,13.0,9.0,269.0,Kiphire,False
Kishanganj,Bihar,26.295759728044786,87.93533192091031,303.0,Kishanganj,Bihar,10.0,8.0,210.0,Kishanganj,False
Kishtwar,Jammu & Kashmir,33.53085592613648,76.014172087542,304.0,Kishtwar,Jammu & Kashmir,1.0,18.0,18.0,Kishtwar,False
Koch Bihar,West Bengal,26.29127656410008,89.34352130235655,305.0,Koch Bihar,West Bengal,19.0,3.0,329.0,Koch Bihar,False
Kodagu,Karnataka,12.324602664221596,75.80323052497775,306.0,Kodagu,Karnataka,29.0,22.0,576.0,Kodagu,False
Kodarma,Jharkhand,24.43730294876381,85.59564206328578,307.0,Kodarma,Jharkhand,20.0,3.0,348.0,Kodarma,False
Kohima,Nagaland,25.78124287624292,94.1291253839838,308.0,Kohima,Nagaland,13.0,10.0,270.0,Kohima,False
Kokrajhar,Assam,26.51493251773877,90.13073376182352,309.0,Kokrajhar,Assam,18.0,1.0,300.0,Kokrajhar,False
Kolar,Karnataka,13.13955019351845,78.21773403691395,310.0,Kolar,Karnataka,29.0,27.0,581.0,Kolar,False
Kolasib,Mizoram,24.19814082097141,92.72695819369956,311.0,Kolasib,Mizoram,15.0,2.0,282.0,Kolasib,False
Kolhapur,Maharashtra,16.470608900934657,74.15966934197594,312.0,Kolhapur,Maharashtra,27.0,34.0,530.0,Kolhapur,False
Kolkata,West Bengal,22.555268633706365,88.35584319659445,313.0,Kolkata,West Bengal,19.0,16.0,342.0,Kolkata,False
Kollam,Kerala,8.961025821462396,76.87485887622405,314.0,Kollam,Kerala,32.0,13.0,600.0,Kollam,False
Koppal,Karnataka,15.56202585226742,76.22186628256844,315.0,Koppal,Karnataka,29.0,6.0,560.0,Koppal,False
Koraput,Odisha,18.816969397781,82.72124930369907,316.0,Koraput,Odisha,21.0,29.0,398.0,Koraput,False
Korba,Chhattisgarh,22.532781088623008,82.61176755530155,317.0,Korba,Chhattisgarh,22.0,5.0,404.0,Korba,False
Koriya,Chhattisgarh,23.46879423494693,82.23693604420993,318.0,Koriya,Chhattisgarh,22.0,1.0,400.0,Koriya,False
Kota,Rajasthan,25.125400796888133,76.12963444858991,319.0,Kota,Rajasthan,8.0,29.0,127.0,Kota,False
Kottayam,Kerala,9.637118909983853,76.6509053401052,320.0,Kottayam,Kerala,32.0,10.0,597.0,Kottayam,False
Kozhikode,Kerala,11.484918039192344,75.83432695770139,321.0,Kozhikode,Kerala,32.0,4.0,591.0,Kozhikode,False
Krishna,Andhra Pradesh,16.563444432316395,80.80036010594357,322.0,Krishna,Andhra Pradesh,28.0,16.0,547.0,Krishna,False
Krishnagiri,Tamil Nadu,12.489215716142075,78.03266405878573,323.0,Krishnagiri,Tamil Nadu,33.0,30.0,631.0,Krishnagiri,False
Kulgam,Jammu & Kashmir,33.58828851442323,74.86060413806504,324.0,Kulgam,Jammu & Kashmir,1.0,15.0,15.0,Kulgam,False
Kullu,Himachal Pradesh,31.905447131066225,77.39997899800112,325.0,Kullu,Himachal Pradesh,2.0,4.0,26.0,Kullu,False
Kupwara,Jammu & Kashmir,34.53223123331655,74.26623385899973,326.0,Kupwara,Jammu & Kashmir,1.0,1.0,1.0,Kupwara,False
Kurnool,Andhra Pradesh,15.534153404595813,78.00614686117109,327.0,Kurnool,Andhra Pradesh,28.0,21.0,552.0,Kurnool,False
Kurukshetra,Haryana,30.045160137477147,76.78623059536285,328.0,Kurukshetra,Haryana,6.0,4.0,72.0,Kurukshetra,False
Kurung Kumey,Arunanchal Pradesh,28.0002411876536,93.39228286128036,329.0,Kurung Kumey,Arunanchal Pradesh,12.0,12.0,256.0,Kurung Kumey,False
Kushinagar,Uttar Pradesh,26.86205702283202,83.93475876377373,330.0,Kushinagar,Uttar Pradesh,9.0,58.0,189.0,Kushinagar,False
Lahul & Spiti,Himachal Pradesh,32.48197497728735,77.61497148830743,331.0,Lahul & Spiti,Himachal Pradesh,2.0,3.0,25.0,Lahul & Spiti,False
Lakhimpur,Assam,27.16923282613617,94.12595015927764,332.0,Lakhimpur,Assam,18.0,8.0,307.0,Lakhimpur,False
Lakhisarai,Bihar,25.15556021091655,86.13117139923087,333.0,Lakhisarai,Bihar,10.0,25.0,227.0,Lakhisarai,False
Lalitpur,Uttar Pradesh,24.654013391177497,78.56173928776681,334.0,Lalitpur,Uttar Pradesh,9.0,36.0,167.0,Lalitpur,False
Latehar,Jharkhand,23.718064722164726,84.44337918150194,335.0,Latehar,Jharkhand,20.0,14.0,359.0,Latehar,False
Latur,Maharashtra,18.36091442819737,76.77517499050012,336.0,Latur,Maharashtra,27.0,28.0,524.0,Latur,False
Lawangtlai,Mizoram,22.383917056701797,92.71318521468076,337.0,Lawangtlai,Mizoram,15.0,7.0,287.0,Lawangtlai,False
Leh (ladakh),Jammu & Kashmir,34.35287511206887,78.43784013603417,338.0,Leh (ladakh),Jammu & Kashmir,1.0,3.0,3.0,Leh (ladakh),False
Lohardaga,Jharkhand,23.475777850486462,84.66999310844318,339.0,Lohardaga,Jharkhand,20.0,11.0,356.0,Lohardaga,False
Lohit,Arunanchal Pradesh,27.84054106767147,96.19523260920177,340.0,Lohit,Arunanchal Pradesh,12.0,15.0,259.0,Lohit,False
Longleng,Nagaland,26.555536939133443,94.8002900559588,341.0,Longleng,Nagaland,13.0,8.0,268.0,Longleng,False
Lower Dibang Valley,Arunanchal Pradesh,28.3731653015519,95.88056465501512,342.0,Lower Dibang Valley,Arunanchal Pradesh,12.0,14.0,258.0,Lower Dibang Valley,False
Lower Subansiri,Arunanchal Pradesh,27.62579521155993,93.9392155042499,343.0,Lower Subansiri,Arunanchal Pradesh,12.0,11.0,255.0,Lower Subansiri,False
Lucknow,Uttar Pradesh,26.84188578242896,80.90664223673434,344.0,Lucknow,Uttar Pradesh,9.0,26.0,157.0,Lucknow,False
Ludhiana,Punjab,30.80893120669761,75.83817733310477,345.0,Ludhiana,Punjab,3.0,7.0,41.0,Ludhiana,False
Lunglei,Mizoram,22.97233277137314,92.72249216825008,346.0,Lunglei,Mizoram,15.0,6.0,286.0,Lunglei,False
Madhepura,Bihar,25.826340977714743,86.8962219427907,347.0,Madhepura,Bihar,10.0,11.0,213.0,Madhepura,False
Madhubani,Bihar,26.40587155026835,86.21786568796887,348.0,Madhubani,Bihar,10.0,5.0,207.0,Madhubani,False
Madurai,Tamil Nadu,9.921064690611724,78.0063573729763,349.0,Madurai,Tamil Nadu,33.0,22.0,623.0,Madurai,False
Maharajganj,Uttar Pradesh,27.20277624011486,83.53327931384676,350.0,Maharajganj,Uttar Pradesh,9.0,56.0,187.0,Maharajganj,False
Mahasamund,Chhattisgarh,21.2073108040822,82.61298656959127,351.0,Mahasamund,Chhattisgarh,22.0,12.0,411.0,Mahasamund,False
Mahbubnagar,Andhra Pradesh,16.499344895274838,78.14607231784572,352.0,Mahbubnagar,Andhra Pradesh,28.0,7.0,538.0,Mahbubnagar,False
Mahe,Puducherry,11.726678986786482,75.54153841460999,353.0,Mahe,Puducherry,34.0,3.0,636.0,Mahe,False
Mahendragarh,Haryana,28.173295731001243,76.14319070915865,354.0,Mahendragarh,Haryana,6.0,16.0,84.0,Mahendragarh,False
Mahesana,Gujarat,23.609582568666852,72.46213356264677,355.0,Mahesana,Gujarat,24.0,4.0,471.0,Mahesana,False
Mahoba,Uttar Pradesh,25.344451011516465,79.69670212227508,356.0,Mahoba,Uttar Pradesh,9.0,38.0,169.0,Mahoba,False
Mainpuri,Uttar Pradesh,27.18077830430892,79.05903298633564,357.0,Mainpuri,Uttar Pradesh,9.0,17.0,148.0,Mainpuri,False
Malappuram,Kerala,11.132240220709004,76.15583838075975,358.0,Malappuram,Kerala,32.0,5.0,592.0,Malappuram,False
Maldah,West Bengal,25.13709718768365,88.09227575922397,359.0,Maldah,West Bengal,19.0,6.0,332.0,Maldah,False
Malkangiri,Odisha,18.258457131832834,81.95650595511312,360.0,Malkangiri,Odisha,21.0,30.0,399.0,Malkangiri,False
Mamit,Mizoram,23.75464203498639,92.46715648164472,361.0,Mamit,Mizoram,15.0,1.0,281.0,Mamit,False
Mandi,Himachal Pradesh,31.638973135342585,76.99271840444202,362.0,Mandi,Himachal Pradesh,2.0,5.0,27.0,Mandi,False
Mandla,Madhya Pradesh,22.640993062598973,80.51324646836488,363.0,Mandla,Madhya Pradesh,23.0,37.0,454.0,Mandla,False
Mandsaur,Madhya Pradesh,24.21192462293172,75.40582884544511,364.0,Mandsaur,Madhya Pradesh,23.0,16.0,433.0,Mandsaur,False
Mandya,Karnataka,12.610552209884846,76.79788547811282,365.0,Mandya,Karnataka,29.0,19.0,573.0,Mandya,False
Mansa,Punjab,29.90867266189029,75.43899595481027,366.0,Mansa,Punjab,3.0,13.0,47.0,Mansa,False
Marigaon,Assam,26.284901076631098,92.28199451282228,367.0,Marigaon,Assam,18.0,5.0,304.0,Marigaon,False
Mathura,Uttar Pradesh,27.597253695804937,77.62755348211445,368.0,Mathura,Uttar Pradesh,9.0,14.0,145.0,Mathura,False
Mau,Uttar Pradesh,26.043233887671143,83.56291446737659,369.0,Mau,Uttar Pradesh,9.0,61.0,192.0,Mau,False
Mayurbhanj,Odisha,21.89593004975029,86.41109224981058,370.0,Mayurbhanj,Odisha,21.0,7.0,376.0,Mayurbhanj,False
Medak,Andhra Pradesh,17.888322224706823,78.21581522545652,371.0,Medak,Andhra Pradesh,28.0,4.0,535.0,Medak,False
Meerut,Uttar Pradesh,29.035925329119834,77.7939354254437,372.0,Meerut,Uttar Pradesh,9.0,7.0,138.0,Meerut,False
Mewat,Haryana,27.982070539285164,77.0465286653312,373.0,Mewat,Haryana,6.0,19.0,87.0,Mewat,False
Mirzapur,Uttar Pradesh,24.98569630698437,82.61930251358197,374.0,Mirzapur,Uttar Pradesh,9.0,68.0,199.0,Mirzapur,False
Moga,Punjab,30.77036083964073,75.16805427570593,375.0,Moga,Punjab,3.0,8.0,42.0,Moga,False
Mokokchung,Nagaland,26.472193406710574,94.5318098040121,376.0,Mokokchung,Nagaland,13.0,2.0,262.0,Mokokchung,False
Mon,Nagaland,26.73140685518568,95.02168043883184,377.0,Mon,Nagaland,13.0,1.0,261.0,Mon,False
Moradabad,Uttar Pradesh,28.776082353189626,78.70864419927035,378.0,Moradabad,Uttar Pradesh,9.0,4.0,135.0,Moradabad,False
Morena,Madhya Pradesh,26.41435610917755,77.86929873448419,379.0,Morena,Madhya Pradesh,23.0,2.0,419.0,Morena,False
Muktsar,Punjab,30.295165937457515,74.54101772545118,380.0,Muktsar,Punjab,3.0,10.0,44.0,Muktsar,False
Mumbai,Maharashtra,18.95964652854592,72.8496237050775,381.0,Mumbai,Maharashtra,27.0,23.0,519.0,Mumbai,False
Mumbai Suburban,Maharashtra,19.129627496175974,72.88506011300234,382.0,Mumbai Suburban,Maharashtra,27.0,22.0,518.0,Mumbai Suburban,False
Munger,Bihar,25.210166609612163,86.5273371136645,383.0,Munger,Bihar,10.0,24.0,226.0,Munger,False
Murshidabad,West Bengal,24.16176351923969,88.23100412667857,384.0,Murshidabad,West Bengal,19.0,7.0,333.0,Murshidabad,False
Muzaffarnagar,Uttar Pradesh,29.43924276502965,77.59225817154332,385.0,Muzaffarnagar,Uttar Pradesh,9.0,2.0,133.0,Muzaffarnagar,False
Muzaffarpur,Bihar,26.15129872827137,85.33073957762477,386.0,Muzaffarpur,Bihar,10.0,14.0,216.0,Muzaffarpur,False
Mysore,Karnataka,12.20902171431795,76.44208522356945,387.0,Mysore,Karnataka,29.0,23.0,577.0,Mysore,False
Nabarangapur,Odisha,19.58860369176664,82.33745497709708,388.0,Nabarangapur,Odisha,21.0,28.0,397.0,Nabarangapur,False
Nadia,West Bengal,23.48368449966908,88.52140838266848,389.0,Nadia,West Bengal,19.0,10.0,336.0,Nadia,False
Nagaon,Assam,26.22367486145208,92.84243198277969,282.0,Karbi Anglong,Assam,18.0,15.0,314.0,Karbi Anglong,False
Nagaur,Rajasthan,27.065143551318336,74.18806175870432,391.0,Nagaur,Rajasthan,8.0,14.0,112.0,Nagaur,False
Nagpur,Maharashtra,21.17695626673437,79.08746534037844,392.0,Nagpur,Maharashtra,27.0,9.0,505.0,Nagpur,False
Nainital,Uttarakhand,29.313009001907563,79.45453483876669,393.0,Nainital,Uttarakhand,5.0,11.0,66.0,Nainital,False
Nalanda,Bihar,25.220977931071484,85.4558733843292,394.0,Nalanda,Bihar,10.0,27.0,229.0,Nalanda,False
Nalbari,Assam,26.36807663232914,91.38770460130266,395.0,Nalbari,Assam,18.0,24.0,323.0,Nalbari,False
Nalgonda,Andhra Pradesh,17.068592804054425,79.28859014777487,396.0,Nalgonda,Andhra Pradesh,28.0,8.0,539.0,Nalgonda,False
Namakkal,Tamil Nadu,11.316344153765447,78.13614739214886,397.0,Namakkal,Tamil Nadu,33.0,8.0,609.0,Namakkal,False
Nanded,Maharashtra,19.11731932406889,77.62450537303735,398.0,Nanded,Maharashtra,27.0,15.0,511.0,Nanded,False
Nandurbar,Maharashtra,21.550227683689247,74.21880402155203,399.0,Nandurbar,Maharashtra,27.0,1.0,497.0,Nandurbar,False
Narayanpur,Chhattisgarh,19.604595516867786,81.08112912525077,400.0,Narayanpur,Chhattisgarh,22.0,16.0,415.0,Narayanpur,False
Narmada,Gujarat,21.735660277944703,73.64748729257992,401.0,Narmada,Gujarat,24.0,20.0,487.0,Narmada,False
