suburb,state,latitude,longitude
Changlang,Arunanchal Pradesh,27.363031096866123,96.34542287592575
Chatra,Jharkhand,24.173868362611593,84.88705150879215
Chennai,Tamil Nadu,13.064707574034056,80.25231091569196
Chhatarpur,Madhya Pradesh,24.797793739957374,79.66670898951497
Chhindwara,Madhya Pradesh,22.12249456018392,78.85558728668461
Chikkaballapura,Karnataka,13.578380201851294,77.83618684602374
Chikmagalur,Karnataka,13.454513107570799,75.69144314637256
Chirang,Assam,26.643100009128432,90.61631058358313
Chitradurga,Karnataka,14.16811212486817,76.5165523749845
Chitrakoot,Uttar Pradesh,25.205352335023974,81.08962989105333
Chittaurgarh,Rajasthan,24.82915151853261,74.779937431142
Chittoor,Andhra Pradesh,13.467747404456594,79.01442306359817
Churachandpur,Manipur,24.290049737720434,93.42685614369
Churu,Rajasthan,28.34750244180311,74.69931813389731
Coimbatore,Tamil Nadu,10.87497967171246,76.97557548386095
Cuddalore,Tamil Nadu,11.53513917083165,79.4509179821038
Y.s.r.,Andhra Pradesh,14.460670449303345,78.78336331650993
Cuttack,Odisha,20.449727359458095,85.70570635958352
Dadra & Nagar Haveli,Dadara & Nagar Havelli,20.195104609590853,73.07064314824022
Dakshin Bastar Dantewada,Chhattisgarh,18.501129261656892,81.37976236832053
Dakshin Dinajpur,West Bengal,25.364124219851757,88.58812027956063
Dakshina Kannada,Karnataka,12.838388239827367,75.26659271837093
Daman,Daman & Diu,20.41407213114004,72.85235391809138
Damoh,Madhya Pradesh,23.81392154227219,79.5273650292071
Darbhanga,Bihar,26.11398381030758,86.02517421942665
Darjiling,West Bengal,26.91390661658812,88.39479434246262
Darrang,Assam,26.44941972744641,92.03749520971634
Data Not Available,Jammu & Kashmir,35.5449190342943,74.9041799487303
Datia,Madhya Pradesh,25.85088380570742,78.56889286706094
Davanagere,Karnataka,14.40847495016166,75.95486475646149
Debagarh,Odisha,21.466117464258875,84.80370992597086
Dehradun,Uttarakhand,30.46448321687124,77.97302618772767
Deoghar,Jharkhand,24.328189845226927,86.74110581034603
Deoria,Uttar Pradesh,26.4230216824067,83.83650503463018
Dewas,Madhya Pradesh,22.7457111664531,76.45617936646056
Dhalai,Tripura,23.843471657292145,91.92589326358487
Dhamtari,Chhattisgarh,20.55671274089939,81.81034180647396
Dhanbad,Jharkhand,23.829362273907126,86.47191897567325
Dhar,Madhya Pradesh,22.498204929206963,75.10429175991125
Dharmapuri,Tamil Nadu,12.09700425388268,78.19574183731598
Dharwad,Karnataka,15.389546187999912,75.15385873096292
Dhaulpur,Rajasthan,26.681043129600607,77.70355842152902
Dhemaji,Assam,27.57805644471128,94.77820021736387
Dhenkanal,Odisha,20.826467866789837,85.52621814965923
Dhubri,Assam,26.06800876298772,90.02250016589068
